lang_code,id,name,descr,file_format_code,model,file_txt,module_id,module_name,template_typ_code,is_active
fra,1109,Modèle pour courrier électronique de problème technique,Modèle pour courrier électronique de problème technique,txt,velocity,"Cher $!name_fra,

Votre demande d'UIN pour l'ID d'enregistrement: $!RID a échoué en raison d'un problème technique. Veuillez vous rendre au bureau d’enregistrement le plus proche ou sur https://mosip.io/grievances

Merci",10003,Processeur dinscription,RPR_TEC_ISSUE_EMAIL,True
fra,1110,Modèle de message de problème technique,Modèle de message de problème technique,txt,velocity,"Cher $!name_fra,

Votre demande d'UIN pour l'ID d'enregistrement: $!RID a échoué en raison d'un problème technique. Veuillez vous rendre au bureau d’enregistrement le plus proche ou sur https://mosip.io/grievances",10003,Processeur dinscription,RPR_TEC_ISSUE_SMS,True
fra,1111,Modèle de courrier électronique de génération didentité,Modèle de courrier électronique de génération didentité,txt,velocity,"Cher $!name_fra,

Votre UIN pour ID d’enregistrement: $!RID a été généré avec succès et vous parviendra sous peu à votre adresse postale.

Merci",10003,Processeur dinscription,RPR_UIN_GEN_EMAIL,True
fra,1112,Modèle de message de génération didentité,Modèle de message de génération didentité,txt,velocity,"Cher $!name_fra,

Votre UIN pour ID d’enregistrement: $!RID a été généré avec succès et vous parviendra sous peu à votre adresse postale.",10003,Processeur dinscription,RPR_UIN_GEN_SMS,True
fra,1113,Modèle pour les détails de la mise à jour Email,Modèle pour les détails de la mise à jour Email,txt,velocity,"Cher $!name_fra,

Les détails de votre UIN correspondant à l’ID d’enregistrement: $!RID ont été mis à jour. Une copie physique de votre UIN vous parviendra sous peu à votre adresse postale.

Merci",10003,Processeur dinscription,RPR_UIN_UPD_EMAIL,True
fra,1114,Modèle pour la mise à jour Détails Message,Modèle pour la mise à jour Détails Message,txt,velocity,"Cher $!name_fra,

Les détails de votre UIN correspondant à l’ID d’enregistrement: $!RID ont été mis à jour. Une copie physique de votre UIN vous parviendra sous peu à votre adresse postale.",10003,Processeur dinscription,RPR_UIN_UPD_SMS,True
eng,1115,Template for new registration Email Content,Template for new registration Email Content,txt,velocity,"Dear $name, 
Thank you for registering with the digital identity platform. Your registration id is $RegistrationID. If there are any corrections to be made in your details, please contact the Registration centre within the next 4 days.",10002,Registration Client,NewReg-email-content-template,True
eng,1116,Template for new registration Email Subject,Template for new registration Email Subject,txt,velocity,Registration confirmation,10002,Registration Client,NewReg-email-subject-template,True
eng,1117,Template for new registration SMS,Template for new registration SMS,txt,velocity,"Dear $name,
Thank you for registering with the digital identity platform. Your registration id is $RegistrationID. If there are any corrections to be made in your details, please contact the Registration centre within the next 4 days. ",10002,Registration Client,NewReg-sms-template,True
eng,1118,Template for OTP generation Email Content,Template for OTP generation Email Content,txt,velocity,"Dear $name, 
OTP for username $username is $otp and is valid for $validTime minutes (Generated on $date at $time hrs).",10002,Registration Client,OTP-email-content-template,True
eng,1119,Template for OTP generation Email Subject,Template for OTP generation Email Subject,txt,velocity,One time password from digital identify platfor,10002,Registration Client,OTP-email-subject-template,True
eng,1120,Template for OTP SMS,Template for OTP SMS,txt,velocity,"Dear $name, 
OTP for username $username is $otp and is valid for $validTime minutes (Generated on $date at $time hrs).",10002,Registration Client,OTP-sms-template,True
eng,1121,Template for update registration Email Content,Template for update registration Email Content,txt,velocity,"Dear $name, 
Thank you for updating your details with the digital identity platform. Your registration id is $RegistrationID. If there are any corrections to be made in your details, please contact the Registration centre within the next 4 days.",10002,Registration Client,Update-email-content-template,True
eng,1122,Template for update registration Email Subject,Template for update registration Email Subject,txt,velocity,Registration update confirmation,10002,Registration Client,Update-email-subject-template,True
eng,1123,Template for update registration SMS,Template for update registration SMS,txt,velocity,"Dear $name, 
Thank you for updating your details with the digital identity platform. Your registration id is $RegistrationID. If there are any corrections to be made in your details, please contact the Registration centre within the next 4 days.",10002,Registration Client,Update-sms-template,True
fra,1115,Modèle pour nouvelle inscription Email Content,Modèle pour nouvelle inscription Email Content,txt,velocity,"Cher $name,
Merci de vous être inscrit sur la plateforme d'identité numérique. Votre identifiant d'enregistrement est $RegistrationID. Si des corrections doivent être apportées à vos données, veuillez contacter le centre d’inscription dans les 4 prochains jours.",10002,Client dinscription,NewReg-email-content-template,True
fra,1116,Modèle pour nouvelle inscription Objet de le-mail,Modèle pour nouvelle inscription Objet de le-mail,txt,velocity,Confirmation d'enregistrement,10002,Client dinscription,NewReg-email-subject-template,True
fra,1117,Modèle de nouvelle inscription SMS,Modèle de nouvelle inscription SMS,txt,velocity,"Cher $name,
Merci de vous être inscrit sur la plateforme d'identité numérique. Votre identifiant d'enregistrement est $RegistrationID. Si des corrections doivent être apportées à vos données, veuillez contacter le centre d’inscription dans les 4 prochains jours.",10002,Client dinscription,NewReg-sms-template,True
fra,1118,Modèle de contenu de courrier électronique de génération dOTP,Modèle de contenu de courrier électronique de génération dOTP,txt,velocity,"Cher $name,
OTP pour le nom d'utilisateur $username est $otp et est valide pour $validTime minutes (Généré le $date à $heure hrs).",10002,Client dinscription,OTP-email-content-template,True
fra,1119,Modèle pour le sujet de-mail de génération dOTP,Modèle pour le sujet de-mail de génération dOTP,txt,velocity,Mot de passe unique de la plateforme d'identification numérique,10002,Client dinscription,OTP-email-subject-template,True
fra,1120,Modèle pour SMS OTP,Modèle pour SMS OTP,txt,velocity,"Cher $name,
OTP pour le nom d'utilisateur $username est $otp et est valide pour $validTime minutes (Généré le $date à $heure hrs).",10002,Client dinscription,OTP-sms-template,True
fra,1121,Modèle pour lenregistrement de la mise à jour,Modèle pour lenregistrement de la mise à jour,txt,velocity,"Cher $name,
Merci de mettre à jour vos coordonnées avec la plateforme d’identité numérique. Votre identifiant d'enregistrement est $RegistrationID. Si des corrections doivent être apportées à vos données, veuillez contacter le centre d’inscription dans les 4 prochains jours.",10002,Client dinscription,Update-email-content-template,True
fra,1122,Modèle denregistrement de mise à jour Objet de le-mail,Modèle denregistrement de mise à jour Objet de le-mail,txt,velocity,Confirmation de la mise à jour de l'inscription,10002,Client dinscription,Update-email-subject-template,True
fra,1123,Modèle pour SMS denregistrement de mise à jour,Modèle pour SMS denregistrement de mise à jour,txt,velocity,"Merci de mettre à jour vos coordonnées avec la plateforme d’identité numérique. Votre identifiant d'enregistrement est $RegistrationID. Si des corrections doivent être apportées à vos données, veuillez contacter le centre d’inscription dans les 4 prochains jours.",10002,Client dinscription,Update-sms-template,True
eng,1124,Template for Email Acknowledgement,Template for Email Acknowledgement,txt,velocity,"Dear $name,
Your Pre-Registration for UIN is Completed Successfully
on $Date at $Time. Your ID is #$PRID.
Appointment is scheduled for $Appointmentdate at $Appointmenttime.
you will also receive the details on your registered Mobile Number",10001,Pre-Registration,Email-Acknowledgement,True
eng,1125,Template for Onscreen Acknowledgment,Template for Onscreen Acknowledgment,txt,velocity,"1. Guideline 1
2. Guideline 2
3. Guideline 3
4. Guideline 4
5. Guideline 5
6. Guideline 6
7. Guideline 7
8. Guideline 8
9. Guideline 9
10. Guideline 10
",10001,Pre-Registration,Onscreen-Acknowledgement,True
eng,1126,Template for OTP Email Content,Template for OTP Email Content,txt,velocity,"Dear $name,
TP for Pre-Registration  $PRID is $otp and is valid for $validTime minutes. (Generated on $date at $time Hrs)",10001,Pre-Registration,otp-email-content-template,True
eng,1127,Template for OTP Email Subject,Template for OTP Email Subject,txt,velocity,Pre-Registration $PRID: OTP Request,10001,Pre-Registration,otp-email-subject-template,True
eng,1128,Template for OTP SMS,Template for OTP SMS,txt,velocity,OTP for Pre-Registration  $PRID is $otp and is valid for $validTime minutes. (Generated on $date at $time Hrs),10001,Pre-Registration,otp-sms-template,True
eng,1129,Template for SMS Acknowledgement,Template for SMS Acknowledgement,txt,velocity,"Your Pre-Registration for UIN is Completed Successfully
on $Date at $Time. Your ID is #$PRID.
Appointment is scheduled for $Appointmentdate at $Appointmenttime.
you will also receive the details on your registered email address",10001,Pre-Registration,SMS-Acknowledgement,True
fra,1124,Template for email confirmation,Template for email confirmation,txt,velocity,"Cher $name, 
votre pré-inscription à l'UIN est terminée avec succès sur $Date à $Time. Votre ID est # $PRID.
Le rendez-vous est prévu pour $Appointmentdate à $Appointmenttime.
vous recevrez également les détails sur votre numéro de mobile enregistré",10001,Pré-inscription,Email-Acknowledgement,True
fra,1125,On-screen recognition template,On-screen recognition template,txt,velocity,"1. Ligne directrice 1
2. Ligne directrice 2
3. Ligne directrice 3
4. Ligne directrice 4
5. Ligne directrice 5
6. Ligne directrice 6
7. Ligne directrice 7
8. Ligne directrice 8
9. Ligne directrice 9
10. Ligne directrice 10",10001,Pré-inscription,Onscreen-Acknowledgement,True
fra,1126,OTP Email Content Template,OTP Email Content Template,txt,velocity,"Cher $name, 
OTP pour Pre-Registration $PRID est $otp et est valide pour $validTime minutes. (Généré le $date à $time Hrs)",10001,Pré-inscription,otp-email-content-template,True
fra,1127,Template for OTP email subject,Template for OTP email subject,txt,velocity,Pre-Registration $PRID: Requête OTP,10001,Pré-inscription,otp-email-subject-template,True
fra,1128,Template for OTP SMS,Template for OTP SMS,txt,velocity,OTP pour Pre-Registration $PRID est $otp et est valide pour $validTime minutes. (Généré le $date à $time Hrs),10001,Pré-inscription,otp-sms-template,True
fra,1129,Template for SMS Acknowledgment,Template for SMS Acknowledgment,txt,velocity,"Votre pré-inscription pour UIN est terminée avec succès sur $Date à $Time. 
Votre ID est # $PRID.
Le rendez-vous est prévu pour $Appointmentdate à $Appointmenttime.
vous recevrez également les détails sur votre adresse email enregistrée",10001,Pré-inscription,SMS-Acknowledgement,True
eng,1130,Template for email subject of Acknowledgement,Template for email subject of Acknowledgement,txt,velocity,Pre-Registration $PRID: Acknowledgement ,10001,Pre-Registration,Acknowledgement-email-subject,True
fra,1130,Modèle pour le sujet d'email d'accusé de réception,Modèle pour le sujet d'email d'accusé de réception,txt,velocity,Pré-inscription $PRID: accusé de réception ,10001,Pré-inscription,Acknowledgement-email-subject,True
eng,1131,UIN card template,UIN card template,html,velocity,"<!DOCTYPE html>
<html>
<head>
	<meta charset=""utf-8"">
	<meta name=""viewport"" content=""width=device-width, initial-scale=1"">
	<title>UIN Card</title>
<style>
.main-table {
	margin-left: 60px;;
	width: 600px;
	height: 350px;
	border: 1px solid black;
}
.cir {
	display: inline-block;
	border-radius: 60px;
	box-shadow: 0px 0px 2px #000000;
	padding: 0.5em 0.6em;
}
.name-head-color {
	color: black;
}
.head-title {
	margin-left: -85px;
}
.bar-code-padding {
	margin-top: 20px;
	margin-left: 20px;
}
.top-buffer {
	margin-left:10px;
}
</style>
</head>

<body>
<table class=""main-table"">
<tr>
<td>&nbsp;
<div class=""cir""><font size=""1"">Logo</font></div>
</td>
<td><label class=""name-head-color""><font size=""5""class="" head-title""> &nbsp;&nbsp; Kingdom of MyCountry &nbsp;&nbsp;&nbsp; </font>
</label></td>
<td rowspan=""4"">
<div>
<div style=""border: solid black 1px; height: 150px; width: 120px;"">
<img src = $!ApplicantPhoto style=""width: 120px; height: 150px"">
</div>
</div>
</td>
</tr>
<tr>
<td rowspan=""1"">
<div class=""block top-buffer"">
<label class=""name-head-color""><b>UIN&nbsp;:&nbsp;</b></label> <span class=""name-color""> $!UIN </span>
</div>
</td>
</tr>
<tr>
<td rowspan=""1"">
<div class=""block top-buffer"">
<label class=""name-head-color""><b>Name&nbsp;:&nbsp;</b></label> 
<span class=""name-color""> $!fullName_eng</span>
</div>
</td>
</tr>
<tr>
<td rowspan=""1"">
<div class=""block top-buffer"">
<label class=""name-head-color""><b>اسم&nbsp;:&nbsp;</b></label> 
<span>$!fullName_ara</span>
</div>
</td>
</tr>

<tr>
<td rowspan=""1"">
<div class=""block top-buffer"">
<label class=""name-head-color""><b>DOB/تاريخ&nbsp;:&nbsp;</b></label>
<span>$!dateOfBirth</span>
</div>
</td>
</tr>
<tr>
<td colspan=""2"">
<div class=""block top-buffer"">
<label class=""name-head-color""><b>Gender&nbsp;:&nbsp;</b></label> <span>$!gender_eng</span>
&nbsp;&nbsp; <label class=""name-head-color""><b>جنس&nbsp;:&nbsp;</b></label>
<span>$!gender_ara</span>
</div>
</td>
</tr>
<tr>
<td colspan=""3"">
<div class=""row"" style=""margin-right: 0px; margin-left: -10px;"">
<div class=""col-md-2 top-buffer"">
<div class=""block top-buffer"">
<table>
<tr>
<td><label class=""name-head-color""><b>Address&nbsp;:&nbsp;</b></label>
</td>
<td><span>$!addressLine1_eng, $!addressLine2_eng,
		$!addressLine3_eng, $!region_eng, $!province_eng, $!city_eng,
		$!postalCode </span></td>
</tr>
<tr>
<td><label class=""name-head-color""><b>عنوان&nbsp;:&nbsp;</b></label>
</td>
<td><span>$!addressLine1_ara, $!addressLine2_ara,
		$!addressLine3_ara, $!region_ara, $!province_ara, $!city_ara,
		$!postalCode </span>
</td>
</tr>
</table>
</div>
</div>
</div>
</td>
</tr>
</table>
<div>&nbsp;</div>
<table class=""main-table"" style=""height: 300px"">
<tr>
<td>
<div style=""margin-left: 10px; margin-right: 10px; border: solid black 1px; height: 250px; width: 250px;"">
<div class=""col-md-6"">
<div class=""bar-code-padding""></div>
<img src=$!QrCode style=""width: 250px; height: 250px; margin-top: -20px"">
</div>
</div>
</td>
<td>
<div class=""name-head-color col-md-6"">
<br> For any issues please contact us at<br>
<br> Registration Proccessor,Hanging Gardens,Global Village
Tech Park, Mysore Rd,RVCE,Bengaluru, Karnataka 560059<br>
<br> لأية مشاكل يرجى الاتصال بنا على <br>التسجيل المعالج،
الحدائق المعلقة ، القرية العالمية Tech Park, Mysore Rd,RVCE 560059
بنغالورو، كارناتاكا <br>
<br>
</div>
</td>
</tr>
</table>
</body>
</html>",10003,Registration Processor,RPR_UIN_CARD_TEMPLATE,True
fra,1131,Modèle de carte UIN,Modèle de carte UIN,html,velocity,"<!DOCTYPE html>
<html>
<head>
	<meta charset=""utf-8"">
	<meta name=""viewport"" content=""width=device-width, initial-scale=1"">
	<title>UIN Card</title>
<style>
.main-table {
	margin-left: 60px;;
	width: 600px;
	height: 350px;
	border: 1px solid black;
}
.cir {
	display: inline-block;
	border-radius: 60px;
	box-shadow: 0px 0px 2px #000000;
	padding: 0.5em 0.6em;
}
.name-head-color {
	color: black;
}
.head-title {
	margin-left: -85px;
}
.bar-code-padding {
	margin-top: 20px;
	margin-left: 20px;
}
.top-buffer {
	margin-left:10px;
}
</style>
</head>

<body>
<table class=""main-table"">
<tr>
<td>&nbsp;
<div class=""cir""><font size=""1"">Logo</font></div>
</td>
<td><label class=""name-head-color""><font size=""5""class="" head-title""> &nbsp;&nbsp; Kingdom of MyCountry &nbsp;&nbsp;&nbsp; </font>
</label></td>
<td rowspan=""4"">
<div>
<div style=""border: solid black 1px; height: 150px; width: 120px;"">
<img src = $!ApplicantPhoto style=""width: 120px; height: 150px"">
</div>
</div>
</td>
</tr>
<tr>
<td rowspan=""1"">
<div class=""block top-buffer"">
<label class=""name-head-color""><b>UIN&nbsp;:&nbsp;</b></label> <span class=""name-color""> $!UIN </span>
</div>
</td>
</tr>
<tr>
<td rowspan=""1"">
<div class=""block top-buffer"">
<label class=""name-head-color""><b>Prénom&nbsp;:&nbsp;</b></label> 
<span class=""name-color""> $!fullName_fra</span>
</div>
</td>
</tr>
<tr>
<td rowspan=""1"">
<div class=""block top-buffer"">
<label class=""name-head-color""><b>اسم&nbsp;:&nbsp;</b></label> 
<span>$!fullName_ara</span>
</div>
</td>
</tr>

<tr>
<td rowspan=""1"">
<div class=""block top-buffer"">
<label class=""name-head-color""><b>Rendez-vous amoureux/تاريخ&nbsp;:&nbsp;</b></label>
<span>$!dateOfBirth</span>
</div>
</td>
</tr>
<tr>
<td colspan=""2"">
<div class=""block top-buffer"">
<label class=""name-head-color""><b>Le sexe&nbsp;:&nbsp;</b></label> <span>$!gender_fra</span>
&nbsp;&nbsp; <label class=""name-head-color""><b>جنس&nbsp;:&nbsp;</b></label>
<span>$!gender_ara</span>
</div>
</td>
</tr>
<tr>
<td colspan=""3"">
<div class=""row"" style=""margin-right: 0px; margin-left: -10px;"">
<div class=""col-md-2 top-buffer"">
<div class=""block top-buffer"">
<table>
<tr>
<td><label class=""name-head-color""><b>Adresse&nbsp;:&nbsp;</b></label>
</td>
<td><span>$!addressLine1_fra, $!addressLine2_fra,
		$!addressLine3_fra, $!region_fra, $!province_fra, $!city_fra,
		$!postalCode </span></td>
</tr>
<tr>
<td><label class=""name-head-color""><b>عنوان&nbsp;:&nbsp;</b></label>
</td>
<td><span>$!addressLine1_ara, $!addressLine2_ara,
		$!addressLine3_ara, $!region_ara, $!province_ara, $!city_ara,
		$!postalCode </span>
</td>
</tr>
</table>
</div>
</div>
</div>
</td>
</tr>
</table>
<div>&nbsp;</div>
<table class=""main-table"" style=""height: 300px"">
<tr>
<td>
<div style=""margin-left: 10px; margin-right: 10px; border: solid black 1px; height: 250px; width: 250px;"">
<div class=""col-md-6"">
<div class=""bar-code-padding""></div>
<img src=$!QrCode style=""width: 250px; height: 250px; margin-top: -20px"">
</div>
</div>
</td>
<td>
<div class=""name-head-color col-md-6"">
<br> Pour toute question s'il vous plaît contactez-nous au<br>
<br> Inscription Processor, Hanging Gardens, Global Village
Parc technologique, Mysore Rd, RVCE, Bangalore, Karnataka 560059<br>
<br> لأية مشاكل يرجى الاتصال بنا على <br>التسجيل المعالج،
الحدائق المعلقة ، القرية العالمية Tech Park, Mysore Rd,RVCE 560059
بنغالورو، كارناتاكا <br>
<br>
</div>
</td>
</tr>
</table>
</body>
</html>",10003,Processeur dinscription,RPR_UIN_CARD_TEMPLATE,True
eng,1132,Template for UIN Deactivation SMS,Template for UIN Deactivation SMS,txt,velocity,"Dear $!name_eng,

Your UIN has been de-activated. 
If you have any conserns please visit the nearest Registration Center.",10003,Registration Processor,RPR_UIN_DEAC_SMS,True
fra,1132,Modèle pour courrier électronique de problème technique,Modèle pour courrier électronique de problème technique,txt,velocity,"Cher $!name_fra,

Votre UIN a été désactivé.
Si vous avez des intérêts, veuillez vous rendre au centre d’enregistrement le plus proche.",10003,Processeur dinscription,RPR_UIN_DEAC_SMS,True
eng,1133,Template for UIN Deactivation Email,Template for UIN Deactivation Email,txt,velocity,"Dear $!name_eng,

Your UIN has been de-activated. 
If you have any conserns please visit the nearest Registration Center.

Thank You",10003,Registration Processor,RPR_UIN_DEAC_EMAIL,True
fra,1133,Modèle pour courrier électronique de problème technique,Modèle pour courrier électronique de problème technique,txt,velocity,"Cher $!name_fra,

Votre UIN a été désactivé.
Si vous avez des intérêts, veuillez vous rendre au centre d’enregistrement le plus proche.

Merci",10003,Processeur dinscription,RPR_UIN_DEAC_EMAIL,True
eng,1134,Template for UIN Reactivate SMS,Template for UIN Reactivate SMS,txt,velocity,"Dear $!name_eng,

Your UIN has been re-activated. 
If you have any conserns please visit the nearest Registration Center.",10003,Registration Processor,RPR_UIN_REAC_SMS,True
fra,1134,Modèle pour courrier électronique de problème technique,Modèle pour courrier électronique de problème technique,txt,velocity,"Cher $!name_fra,

Votre UIN a été réactivé.
Si vous avez des intérêts, veuillez vous rendre au centre d’enregistrement le plus proche.",10003,Processeur dinscription,RPR_UIN_REAC_SMS,True
eng,1135,Template for UIN Reactivate Email,Template for UIN Reactivate Email,txt,velocity,"Dear $!name_eng,

Your UIN has been re-activated. 
If you have any conserns please visit the nearest Registration Center.

Thank You",10003,Registration Processor,RPR_UIN_REAC_EMAIL,True
fra,1135,Modèle pour courrier électronique de problème technique,Modèle pour courrier électronique de problème technique,txt,velocity,"Cher $!name_fra,

Votre UIN a été réactivé.
Si vous avez des intérêts, veuillez vous rendre au centre d’enregistrement le plus proche.

Merci",10003,Processeur dinscription,RPR_UIN_REAC_EMAIL,True
eng,1136,Acknowledgement SMS Template,Registration Acknowledgement Template,txt,velocity,"Dear ${FULLNAME},
Thank you for registering with Digital Identity platform . Your registration id is """"${RID}"""". The demographic details are as follows:
1. Date: ${Date}
2. Full Name: ${FULLNAME}
3. Date of Birth: ${DOB}
4. Gender: ${GENDER}
5. Address Line 1: ${ADDRESSLINE1}
6. Address Line 2: ${ADDRESSLINE2}
7. Address Line 3: ${ADDRESSLINE3}
8. Region: ${REGION}
9. City: ${CITY}
10. Province: ${PROVINCE}
11. Postal Code: ${POSTALCODE}
12. Mobile Number: ${PHONE}
13. Email: ${EMAIL}",10005,Registration,reg-sms-notification,True
fra,1136,Modèle SMS de reconnaissance,Modèle de confirmation dinscription,txt,velocity,"Cher ${FULLNAME},
Merci de vous être inscrit sur la plateforme d'identité numérique. Votre identifiant d'enregistrement est """" ${RID} """". Les détails démographiques sont les suivants:
1. Date : ${Date}
2. Nom complet: ${FULLNAME}
3. Date de naissance: ${DOB}
4. Sexe: ${GENDER}
5. Adresse ligne 1: ${ADDRESSLINE1}
6. Adresse Ligne 2: ${ADDRESSLINE2}
7. Adresse ligne 3: ${ADDRESSLINE3}
8. Région: ${REGION}
9. Ville: ${CITY}
10. Province: ${PROVINCE}
11. Code postal: ${POSTALCODE}
12. Numéro de mobile: ${PHONE}
13. Email: ${EMAIL}",10005,Inscription,reg-sms-notification,True
eng,1137,Acknowledgement Email Template,Registration Acknowledgement Template,txt,velocity,"Dear ${FULLNAME},
Thank you for registering with Digital Identity platform . Your registration id is """"${RID}"""". The demographic details are as follows:
1. Date: ${Date}
2. Full Name: ${FULLNAME}
3. Date of Birth: ${DOB}
4. Gender: ${GENDER}
5. Address Line 1: ${ADDRESSLINE1}
6. Address Line 2: ${ADDRESSLINE2}
7. Address Line 3: ${ADDRESSLINE3}
8. Region: ${REGION}
9. City: ${CITY}
10. Province: ${PROVINCE}
11. Postal Code: ${POSTALCODE}
12. Mobile Number: ${PHONE}
13. Email: ${EMAIL}",10005,Registration,reg-email-notification,True
fra,1137,Modèle de courrier électronique daccusé de réception,Modèle de confirmation d inscription,txt,velocity,"Cher ${FULLNAME},
Merci de vous être inscrit sur la plateforme d'identité numérique. Votre identifiant d'enregistrement est """" ${RID} """". Les détails démographiques sont les suivants:
1. Date : ${Date}
2. Nom complet: ${FULLNAME}
3. Date de naissance: ${DOB}
4. Sexe: ${GENDER}
5. Adresse ligne 1: ${ADDRESSLINE1}
6. Adresse Ligne 2: ${ADDRESSLINE2}
7. Adresse ligne 3: ${ADDRESSLINE3}
8. Région: ${REGION}
9. Ville: ${CITY}
10. Province: ${PROVINCE}
11. Code postal: ${POSTALCODE}
12. Numéro de mobile: ${PHONE}
13. Email: ${EMAIL}",10005,Inscription,reg-email-notification,True
eng ,preregistration,otp service,OTP Send Service,txt,velocity,Please find the OTP $otp,10001,Pre-Registration,otp-sms-template,True
eng ,ida,otp service,OTP Send Service,txt,velocity,Please find the OTP $otp,10002,login,otp-sms-template,True
eng ,registrationprocessor,otp service,OTP Send Service,txt,velocity,Please find the OTP $!otp,10003,login,otp-sms-template,True
eng ,registrationclient,otp service,OTP Send Service,txt,velocity,Please find the OTP $otp,10004,ID Authentication,otp-sms-template,True
eng,1142,auth otp service,auth otp service for sending otp,txt,velocity,Please find the otp $otp,10001,Pre-Registration,auth-otp-sms-template,True
fra,1142,auth otp service,auth otp service for sending otp,txt,velocity,Please find the otp $otp,10001,Pré-inscription,auth-otp-sms-template,True
eng,1143,auth otp email service subject,auth otp email service subject,txt,velocity,Otp message,10001,Pre-Registration,auth-otp-email-subject-template,True
fra,1143,auth otp email service subject,auth otp email service subject,txt,velocity,Otp message,10001,Pré-inscription,auth-otp-email-subject-template,True
eng,1144,auth otp email service subject,auth otp email service subject,txt,velocity,Please find the otp $otp,10001,Pre-Registration,auth-otp-email-content-template,True
fra,1144,auth otp email service subject,auth otp email service subject,txt,velocity,Please find the otp $otp,10001,Pré-inscription,auth-otp-email-content-template,True
