lang_code,id,name,mac_address,serial_num,ip_address,dspec_id,zone_code,regcntr_id,is_active,eff_dtimes
eng,2004,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,RBT,10004,True,now()
eng,3004,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,RBT,10004,True,now()
fra,1004,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,RBT,10004,True,now()
fra,2004,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,RBT,10004,True,now()
fra,3004,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,RBT,10004,True,now()
eng,1005,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,BSN,10005,True,now()
eng,2005,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,BSN,10005,True,now()
eng,3005,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,BSN,10005,True,now()
fra,1005,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,BSN,10005,True,now()
fra,2005,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,BSN,10005,True,now()
fra,3005,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,BSN,10005,True,now()
eng,1006,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,NDR,10006,True,now()
eng,2006,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,NDR,10006,True,now()
eng,3006,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,NDR,10006,True,now()
fra,1006,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,NDR,10006,True,now()
fra,2006,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,NDR,10006,True,now()
fra,3006,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,NDR,10006,True,now()
eng,1007,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,STT,10007,True,now()
eng,2007,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,STT,10007,True,now()
eng,3007,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,STT,10007,True,now()
fra,1007,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,STT,10007,True,now()
fra,2007,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,STT,10007,True,now()
fra,3007,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,STT,10007,True,now()
eng,1008,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,SAF,10008,True,now()
eng,2008,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,SAF,10008,True,now()
eng,3008,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,SAF,10008,True,now()
fra,1008,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,SAF,10008,True,now()
fra,2008,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,SAF,10008,True,now()
fra,3008,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,SAF,10008,True,now()
eng,1009,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,YSF,10009,True,now()
eng,2009,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,YSF,10009,True,now()
eng,3009,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,YSF,10009,True,now()
fra,1009,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,YSF,10009,True,now()
fra,2009,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,YSF,10009,True,now()
fra,3009,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,YSF,10009,True,now()
eng,1010,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,TTA,10010,True,now()
eng,2010,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,TTA,10010,True,now()
eng,3010,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,TTA,10010,True,now()
fra,1010,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,TTA,10010,True,now()
fra,2010,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,TTA,10010,True,now()
fra,3010,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,TTA,10010,True,now()
eng,1011,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,TZT,10011,True,now()
eng,2011,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,TZT,10011,True,now()
eng,3011,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,TZT,10011,True,now()
fra,1011,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,TZT,10011,True,now()
fra,2011,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,TZT,10011,True,now()
fra,3011,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,TZT,10011,True,now()
eng,1012,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,SAF,10012,True,now()
eng,2012,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,SAF,10012,True,now()
eng,3012,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,SAF,10012,True,now()
fra,1012,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,SAF,10012,True,now()
fra,2012,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,SAF,10012,True,now()
fra,3012,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,SAF,10012,True,now()
