lang_code,id,name,mac_address,serial_num,ip_address,dspec_id,zone_code,regcntr_id,is_active
fra,3007,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,STT,10007,True
eng,1008,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,SAF,10008,True
eng,2008,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,SAF,10008,True
eng,3008,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,SAF,10008,True
fra,1008,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,SAF,10008,True
fra,2008,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,SAF,10008,True
fra,3008,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,SAF,10008,True
eng,1009,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,YSF,10009,True
eng,2009,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,YSF,10009,True
eng,3009,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,YSF,10009,True
fra,1009,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,YSF,10009,True
fra,2009,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,YSF,10009,True
fra,3009,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,YSF,10009,True
eng,1010,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,TTA,10010,True
eng,2010,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,TTA,10010,True
eng,3010,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,TTA,10010,True
fra,1010,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,TTA,10010,True
fra,2010,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,TTA,10010,True
fra,3010,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,TTA,10010,True
eng,1011,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,TZT,10011,True
eng,2011,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,TZT,10011,True
eng,3011,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,TZT,10011,True
fra,1011,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,TZT,10011,True
fra,2011,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,TZT,10011,True
fra,3011,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,TZT,10011,True
eng,1012,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,SAF,10012,True
eng,2012,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,SAF,10012,True
eng,3012,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,SAF,10012,True
fra,1012,Mock IRIS Scanner,85-BB-97-4B-14-05,3456789012,,327,SAF,10012,True
fra,2012,Mock FingerPrint Scanner,85-BB-97-4B-14-05,1234567890,,165,SAF,10012,True
fra,3012,Mock Camera,85-BB-97-4B-14-05,2345678901,,736,SAF,10012,True
