Latest Property File,Key,Latest Value
id-authentication-default.properties,mosip.ida.otp.notification.request.mode,0
id-authentication-default.properties,spring.datasource.hikari.minimum-idle,10
id-authentication-default.properties,mosip.ida.email.timeout,15
id-authentication-default.properties,management.endpoint.env.enabled,true
id-authentication-default.properties,spring.batch.jdbc.initialize-schema,embedded
id-authentication-default.properties,webclient.response-timeout-seconds,5
id-authentication-default.properties,spring.datasource.hikari.maximum-pool-size,50
id-authentication-default.properties,mosip.kernel.keymgr.hsm.health.check.enabled,false
id-authentication-internal-default.properties,spring.jpa.properties.hibernate.jdbc.batch_size,100
id-authentication-internal-default.properties,ida.batch.credential.store.thread.count,20
id-authentication-internal-default.properties,spring.jpa.properties.hibernate.order_inserts,true
id-authentication-internal-default.properties,mosip.kernel.http.selftoken.restTemplate.max-connection-per-route,70
id-authentication-internal-default.properties,spring.jpa.properties.hibernate.jdbc.batch_versioned_data,true
id-authentication-internal-default.properties,spring.datasource.hikari.maximum-pool-size,50
id-authentication-internal-default.properties,ida.batch.credential.store.page.size,500
id-authentication-internal-default.properties,spring.jpa.properties.hibernate.order_updates,true
id-authentication-internal-default.properties,mosip.kernel.http.selftoken.restTemplate.total-max-connections,150
id-authentication-internal-default.properties,spring.datasource.hikari.minimum-idle,10
id-repository-default.properties,mosip.biometric.sdk.providers.face.mosip-ref-impl-sdk-client.config.parameter.restTemplate-ssl-bypass,true
id-repository-default.properties,mosip.role.idrepo.identity.getdraftUIN,"RESIDENT,ID_REPOSITORY"
id-repository-default.properties,mosip.idrepo.extract.template.core-pool-size,20
id-repository-default.properties,mosip.kernel.http.default.restTemplate.total-max-connections,700
id-repository-default.properties,mosip.identity.get.drafts.id,mosip.identity.get.drafts
id-repository-default.properties,IDREPORETRIEVEIDBYID,${mosip.idrepo.identity.url}/idrepository/v1/identity/idvid/
id-repository-default.properties,mosip.biometric.sdk.providers.iris.mosip-ref-impl-sdk-client.config.parameter.restTemplate-ssl-bypass,true
id-repository-default.properties,mosip.kernel.http.plain.restTemplate.total-max-connections,700
id-repository-default.properties,mosip.kernel.http.plain.restTemplate.max-connection-per-route,100
id-repository-default.properties,mosip.idrepo.extract.template.max-pool-size,40
id-repository-default.properties,mosip.kernel.http.selftoken.restTemplate.max-connection-per-route,100
id-repository-default.properties,mosip.kernel.webclient.exchange.strategy.max-in-memory-size.mbs,10
id-repository-default.properties,idrepo.default.processor.httpclient.connections.max.per.host,100
id-repository-default.properties,idrepo.default.processor.httpclient.connections.max,700
id-repository-default.properties,mosip.biometric.sdk.providers.finger.mosip-ref-impl-sdk-client.config.parameter.restTemplate-total-max-connections,200
id-repository-default.properties,mosip.idrepo.update-identity.fields-to-replace,"{""selectedHandles""}"
id-repository-default.properties,mosip.biometric.sdk.providers.face.mosip-ref-impl-sdk-client.config.parameter.restTemplate-max-connection-per-route,100
id-repository-default.properties,mosip.biometric.sdk.providers.iris.mosip-ref-impl-sdk-client.config.parameter.restTemplate-max-connection-per-route,100
id-repository-default.properties,mosip.kernel.http.default.restTemplate.max-connection-per-route,100
id-repository-default.properties,mosip.identity.get.drafts.version,1.0
id-repository-default.properties,mosip.role.idrepo.identity.postidvididv2,"REGISTRATION_PROCESSOR,RESIDENT,REGISTRATION_ADMIN,REGISTRATION_SUPERVISOR,REGISTRATION_OFFICER,ID_AUTHENTICATION,ID_REPOSITORY"
id-repository-default.properties,mosip.kernel.http.selftoken.restTemplate.total-max-connections,700
id-repository-default.properties,spring.datasource.hikari.minimum-idle,8
id-repository-default.properties,mosip.biometric.sdk.providers.face.mosip-ref-impl-sdk-client.config.parameter.restTemplate-total-max-connections,200
id-repository-default.properties,mosip.identity.get.excluded.attribute.list,"UIN,verifiedAttributes,IDSchemaVersion"
id-repository-default.properties,mosip.idrepo.extract.template.queue-capacity,350
id-repository-default.properties,credential.batch.thread.count,50
id-repository-default.properties,mosip.biometric.sdk.providers.finger.mosip-ref-impl-sdk-client.config.parameter.restTemplate-max-connection-per-route,100
id-repository-default.properties,mosip.biometric.sdk.providers.iris.mosip-ref-impl-sdk-client.config.parameter.restTemplate-total-max-connections,200
id-repository-default.properties,mosip.biometric.sdk.providers.finger.mosip-ref-impl-sdk-client.config.parameter.restTemplate-ssl-bypass,true
id-repository-default.properties,mosip.role.idrepo.identity.postidvidid,"REGISTRATION_PROCESSOR,RESIDENT,REGISTRATION_ADMIN,REGISTRATION_SUPERVISOR,REGISTRATION_OFFICER,ID_AUTHENTICATION,ID_REPOSITORY"
id-repository-default.properties,spring.datasource.hikari.maximum-pool-size,20
kernel-default.properties,mosip.kernel.sms.number.max.length,10
kernel-default.properties,sms.executor.await-termination-seconds,20
kernel-default.properties,sms.executor.core-pool-size,5
kernel-default.properties,mosip.kernel.sms.number.min.length,8
kernel-default.properties,mail.executor.max-pool-size,20
kernel-default.properties,mosip.role.keymanager.getcacertificatetrustpath,PARTNER_ADMIN
kernel-default.properties,mosip.role.keymanager.postgetcacertificates,PARTNER_ADMIN
kernel-default.properties,mosip.kernel.partner.issuer.certificate.allowed.grace.duration,30
kernel-default.properties,sms.executor.max-pool-size,10
kernel-default.properties,mosip.kernel.vid.get_executor_pool,100
kernel-default.properties,mail.executor.queue-capacity,2000
kernel-default.properties,mosip.kernel.partner.cacertificate.upload.minimumvalidity.month,12
kernel-default.properties,mail.executor.keep-alive-seconds,30
kernel-default.properties,mosip.kernel.masterdata.template_idauthentication_event,MASTERDATA_IDAUTHENTICATION_TEMPLATES
kernel-default.properties,sms.executor.queue-capacity,1000
kernel-default.properties,mail.executor.await-termination-seconds,30
kernel-default.properties,mail.executor.core-pool-size,10
kernel-default.properties,mail.executor.thread-name-prefix,MailSender-
kernel-default.properties,spring.datasource.hikari.minimum-idle,10
kernel-default.properties,mosip.kernel.masterdata.title_event,MASTERDATA_TITLES
kernel-default.properties,mosip.kernel.partner.issuer.certificate.duration.years,1
kernel-default.properties,sms.executor.thread-name-prefix,SmsSender-
kernel-default.properties,sms.executor.keep-alive-seconds,20
kernel-default.properties,mosip.kernel.keymanager.signature.kid.prepend,
kernel-default.properties,mosip.role.keymanager.getgetpartnersignedcertificatepartnercertid,"ZONAL_ADMIN,GLOBAL_ADMIN,PARTNER_ADMIN,PARTNER"
kernel-default.properties,mosip.kernel.uin.get_executor_pool,100
kernel-default.properties,spring.datasource.hikari.maximum-pool-size,30
mock-identity-system-default.properties,mosip.esignet.authenticator.auth-factor.kba.field-details,"{{""id"":""individualId"", ""type"":""text"", ""format"":""""},{""id"":""email"", ""type"":""text"", ""format"":""""},{""id"":""dateOfBirth"", ""type"":""date"", ""format"":""yyyy-MM-dd""}}"
mock-identity-system-default.properties,mosip.esignet.authenticator.auth-factor.kba.field-language,eng
packet-manager-default.properties,mosip.auth.adapter.impl.basepackage,io.mosip.kernel.auth.defaultadapter
packet-manager-default.properties,mosip.kernel.http.selftoken.restTemplate.max-connection-per-route,70
packet-manager-default.properties,mosip.kernel.http.selftoken.restTemplate.total-max-connections,500
partner-management-default.properties,mosip.pms.api.id.original.partner.certificate.get,mosip.pms.original.partner.certificate.get
partner-management-default.properties,mosip.pms.api.id.download.trust.certificates.get,mosip.pms.download.trust.certificates.get
partner-management-default.properties,mosip.role.pms.postdevicewithsbimapping,PARTNER_ADMIN
partner-management-default.properties,mosip.role.pms.getpartnersftmchipdetails,PARTNER_ADMIN
partner-management-default.properties,mosip.role.pms.getpartnercertificates,"AUTH_PARTNER,ABIS_PARTNER,SDK_PARTNER,DEVICE_PROVIDER,FTM_PROVIDER,CREDENTIAL_PARTNER,PARTNER_ADMIN,ONLINE_VERIFICATION_PARTNER"
partner-management-default.properties,mosip.pms.api.id.trust.certificates.get,mosip.pms.trust.certificates.get
partner-management-default.properties,mosip.pms.api.id.oauth.clients.get,mosip.pms.oauth.clients.get
partner-management-default.properties,mosip.role.pms.patchdeactivatedevice,"DEVICE_PROVIDER,PARTNER_ADMIN"
partner-management-default.properties,mosip.role.pms.getsbidetails,"DEVICE_PROVIDER,PARTNER_ADMIN"
partner-management-default.properties,mosip.pms.api.id.partners.ftm.chip.details.get,mosip.pms.partners.ftm.chip.details.get
partner-management-default.properties,mosip.role.pms.getdownloadtrustcertificates,PARTNER_ADMIN
partner-management-default.properties,mosip.pms.api.id.user.consent.get,mosip.pms.user.consent.get
partner-management-default.properties,mosip.role.pms.getpartnersapikeyrequests,"PARTNER_ADMIN,AUTH_PARTNER"
partner-management-default.properties,mosip.pms.api.id.get.all.device.details.get,mosip.pms.get.all.device.details.get
partner-management-default.properties,mosip.role.pms.getallpartnerpolicymappingrequests,"PARTNER_ADMIN,AUTH_PARTNER,ABIS_PARTNER,SDK_PARTNER,CREDENTIAL_PARTNER,PARTNER_ADMIN,ONLINE_VERIFICATION_PARTNER"
partner-management-default.properties,mosip.role.pms.patchdeactivatesbi,"DEVICE_PROVIDER,PARTNER_ADMIN"
partner-management-default.properties,mosip.pms.api.id.all.api.key.requests.get,mosip.pms.all.api.key.requests.get
partner-management-default.properties,mosip.pms.api.id.user.consent.post,mosip.pms.user.consent.post
partner-management-default.properties,mosip.pms.api.id.admin.partners.get,mosip.pms.admin.partners.get
partner-management-default.properties,mosip.role.pms.getoauthpartnersclients,"PARTNER_ADMIN,AUTH_PARTNER"
partner-management-default.properties,mosip.pms.oidc.client.available,true
partner-management-default.properties,mosip.pms.api.id.sbi.details.get,mosip.pms.sbi.details.get
partner-management-default.properties,mosip.pms.api.id.ftm.chip.details.get,mosip.pms.ftm.chip.details.get
partner-management-default.properties,pmp.trust.certificates.post.rest.uri,${mosip.kernel.keymanager.url}/v1/keymanager/getCaCertificates
partner-management-default.properties,mosip.pms.api.id.all.partner.policy.mapping.requests.get,mosip.pms.all.partner.policy.mapping.requests.get
partner-management-default.properties,mosip.pms.api.id.add.device.to.sbi.id.post,mosip.pms.add.device.to.sbi.id.post
partner-management-default.properties,mosip.pms.api.id.partner.details.get,mosip.pms.partner.details.get
partner-management-default.properties,mosip.pms.api.id.sbi.devices.get,mosip.pms.sbi.devices.get
partner-management-default.properties,mosip.role.pms.getpartnerdetails,PARTNER_ADMIN
partner-management-default.properties,mosip.pms.session.inactivity.prompt.timer,5
partner-management-default.properties,mosip.pms.api.id.deactivate.device.patch,mosip.pms.deactivate.device.patch
partner-management-default.properties,mosip.pms.api.id.approved.device.provider.ids.get,mosip.pms.approved.device.provider.ids.get
partner-management-default.properties,mosip.pms.api.id.approval.mapping.device.to.sbi.post,mosip.pms.approval.mapping.device.to.sbi.post
partner-management-default.properties,mosip.pms.api.id.configs.get,mosip.pms.configs.get
partner-management-default.properties,pmp.partner.original.certificate.get.rest.uri,${mosip.kernel.keymanager.url}/v1/keymanager/getPartnerSignedCertificate/{partnerCertId}
partner-management-default.properties,mosip.pms.api.id.partner.certificates.get,mosip.pms.partner.certificates.get
partner-management-default.properties,mosip.pms.api.id.approved.ftm.provider.ids.get,mosip.pms.approved.ftm.provider.ids.get
partner-management-default.properties,mosip.pms.oidc.clients.grantTypes,authorization_code
partner-management-default.properties,mosip.role.pms.getoriginalftmcertificate,"FTM_PROVIDER,PARTNER_ADMIN"
partner-management-default.properties,mosip.role.pms.getalldevicedetails,PARTNER_ADMIN
partner-management-default.properties,mosip.role.pms.patchdeactivateftm,"FTM_PROVIDER,PARTNER_ADMIN"
partner-management-default.properties,mosip.role.pms.getadminpartners,PARTNER_ADMIN
partner-management-default.properties,mosip.pms.required.roles,"PARTNER_ADMIN,RESIDENT"
partner-management-default.properties,mosip.pms.api.id.partners.v3.get,mosip.pms.partners.v3.get
partner-management-default.properties,mosip.pms.pagination.items.per.page,8
partner-management-default.properties,mosip.pms.api.id.all.sbi.details.get,mosip.pms.all.sbi.details.get
partner-management-default.properties,mosip.pms.api.id.auth.partner.api.keys.get,mosip.pms.auth.partner.api.keys.get
partner-management-default.properties,pmp.download.trust.certificates.get.rest.uri,${mosip.kernel.keymanager.url}/v1/keymanager/getCACertificateTrustPath/{caCertId}
partner-management-default.properties,mosip.pms.api.id.deactivate.ftm.patch,mosip.pms.deactivate.ftm.patch
partner-management-default.properties,mosip.role.pms.getallsbidetails,"PARTNER_ADMIN,DEVICE_PROVIDER"
partner-management-default.properties,mosip.pms.api.id.deactivate.sbi.patch,mosip.pms.deactivate.sbi.patch
partner-management-default.properties,mosip.pms.ca.signed.partner.certificate.available,true
partner-management-default.properties,mosip.role.pms.postadddevicetosbi,"DEVICE_PROVIDER,PARTNER_ADMIN"
partner-management-default.properties,mosip.pms.api.id.approved.partner.ids.with.policy.groups.get,mosip.pms.approved.partner.ids.with.policy.groups.get
partner-management-default.properties,mosip.role.pms.gettrustcertificates,PARTNER_ADMIN
partner-management-default.properties,mosip.role.pms.userconsent,"AUTH_PARTNER,ABIS_PARTNER,SDK_PARTNER,DEVICE_PROVIDER,FTM_PROVIDER,CREDENTIAL_PARTNER,PARTNER_ADMIN,ONLINE_VERIFICATION_PARTNER,POLICYMANAGER"
partner-management-default.properties,mosip.pms.axios.timeout,3
partner-management-default.properties,mosip.pms.oidc.clients.clientAuthMethods,private_key_jwt
partner-management-default.properties,mosip.role.pms.getpartnersv3,"DEVICE_PROVIDER,FTM_PROVIDER,PARTNER_ADMIN,AUTH_PARTNER,ABIS_PARTNER,SDK_PARTNER,CREDENTIAL_PARTNER,PARTNER_ADMIN,ONLINE_VERIFICATION_PARTNER"
partner-management-default.properties,mosip.role.pms.getftmchipdetails,"FTM_PROVIDER,PARTNER_ADMIN"
partner-management-default.properties,mosip.pms.session.inactivity.timer,25
partner-management-default.properties,mosip.pms.expiry.date.max.year,10
partner-management-default.properties,mosip.pms.api.id.oauth.partners.clients.get,mosip.pms.oauth.partners.clients.get
partner-management-default.properties,mosip.pms.root.and.intermediate.certificates.available,true
partner-management-default.properties,mosip.pms.created.date.max.year,10
partner-management-default.properties,mosip.pms.api.id.original.ftm.certificate.get,mosip.pms.original.ftm.certificate.get
pre-registration-default.properties,mosip.lostuin.applicationdetails.ara,\u0627\u0644\u062D\u062C\u0632 \u0644\u0627\u0633\u062A\u0631\u062F\u0627\u062F UIN \u0627\u0644\u0645\u0641\u0642\u0648\u062F
pre-registration-default.properties,mosip.id.preregistration.updateregistration.delete,mosip.pre-registration.updateregistration.delete
pre-registration-default.properties,registrationcenter.centerdetail.rest.uri,${mosip.base.url}/v1/masterdata/registrationcenters
pre-registration-default.properties,mosip.prereg.applicationdetails.fra,préinscription
pre-registration-default.properties,mosip.prereg.applicationdetails.eng,pre registration
pre-registration-default.properties,mosip.updateregistration.applicationdetails.fra,réservation pour mettre à jour linscription
pre-registration-default.properties,mosip.updateregistration.applicationdetails.eng,booking to update registration
pre-registration-default.properties,mosip.id.preregistration.lostuin.delete,mosip.pre-registration.lostuin.delete
pre-registration-default.properties,mosip.updateregistration.applicationdetails.ara,\u0627\u0644\u062D\u062C\u0632 \u0644\u062A\u062D\u062F\u064A\u062B \u0627\u0644\u062A\u0633\u062C\u064A\u0644
pre-registration-default.properties,mosip.prereg.applicationdetails.ara,\u0627\u0644\u062A\u0633\u062C\u064A\u0644 \u0627\u0644\u0645\u0633\u0628\u0642
pre-registration-default.properties,mosip.lostuin.applicationdetails.eng,booking to retrieve the lost UIN
pre-registration-default.properties,mosip.id.preregistration.lostuin.create,mosip.pre-registration.lostuin.create
pre-registration-default.properties,spring.datasource.hikari.maximum-pool-size,30
pre-registration-default.properties,mosip.lostuin.applicationdetails.fra,réservation pour récupérer lUIN perdu
pre-registration-default.properties,spring.datasource.hikari.minimum-idle,12
pre-registration-default.properties,mosip.id.preregistration.updateregistration.create,mosip.pre-registration.updateregistration.create
registration-default.properties,mosip.registration.default-selected-handle-fields,
registration-processor-default.properties,mosip.regproc.workflow-manager.instance.version,v1
registration-processor-default.properties,packetmanager.provider.packetvalidator.referenceIdentityNumber,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT"
registration-processor-default.properties,packetmanager.provider.messagesender.proofOfIdentity,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT"
registration-processor-default.properties,packetmanager.provider.messagesender.caddressLine3,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT"
registration-processor-default.properties,mosip.regproc.abis.handler.caffeine.cache.enable,false
registration-processor-default.properties,mosip.regproc.introducer-validator.eventbus.kafka.max.poll.interval,900000
registration-processor-default.properties,packetmanager.provider.workflowmanager.czone,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT"
registration-processor-default.properties,packetmanager.provider.packetvalidator.bloodType,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT"
registration-processor-default.properties,mosip.regproc.biometric.authentication.eventbus.kafka.max.poll.interval,900000
registration-processor-default.properties,packetmanager.provider.packetvalidator.zone,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT"
registration-processor-default.properties,packetmanager.provider.messagesender.individualBiometrics[Face],"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT"
registration-processor-default.properties,packetmanager.provider.workflowmanager.proofOfRelationship,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT"
registration-processor-default.properties,mosip.regproc.supervisor-validator.eventbus.kafka.max.poll.interval,900000
registration-processor-default.properties,packetmanager.provider.packetvalidator.proofOfRelationship,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT"
registration-processor-default.properties,packetmanager.provider.workflowmanager.city,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT"
registration-processor-default.properties,packetmanager.provider.messagesender.zone,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT"
registration-processor-default.properties,packetmanager.provider.packetvalidator.postalCode,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT"
registration-processor-default.properties,packetmanager.provider.messagesender.czone,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT"
registration-processor-default.properties,mosip.regproc.biometric.extraction.eventbus.kafka.max.poll.interval,900000
registration-processor-default.properties,packetmanager.provider.packetvalidator.individualBiometrics[Iris],"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT"
registration-processor-default.properties,packetmanager.provider.messagesender.addressLine4,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT"
registration-processor-default.properties,packetmanager.provider.packetvalidator.addressLine2,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT"
registration-processor-default.properties,mosip.regproc.packet.classifier.tagging.exceptionbiometrics.before-exception-metainfo-change.reg-client-versions,"1.1.4,1.1.5.5"
registration-processor-default.properties,registration.processor.notification.additional-process.category-mapping,"{'CRVS_NEW':'NEW','CRVS_DEATH':'UPDATE'}"
registration-processor-default.properties,mosip.regproc.packet.validator.eventbus.kafka.max.poll.interval,900000
registration-processor-default.properties,mosip.biometric.sdk.providers.finger.mosip-ref-impl-sdk-client.config.parameter.restTemplate-total-max-connections,300
registration-processor-default.properties,mosip.regproc.abis.middleware.caffeine.cache.enable,false
registration-processor-default.properties,packetmanager.provider.messagesender.gender,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT"
registration-processor-default.properties,packetmanager.provider.packetvalidator.maritalStatus,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT"
