Old Property File,Key,Old Value
resident-default.properties,resident.template.email.subject.request-received.lock-unlock-auth,lock-unlock-auth-request-received-email-subject
resident-default.properties,resident.template.summary.success.gen-or-revoke-vid,gen-or-revoke-vid-success-summary
resident-default.properties,resident.template.bell-icon.request-received.share-cred-with-partner,share-cred-with-partner-request-received_BELL
resident-default.properties,resident.template.email.content.success.update-demo-data,update-demo-data-success-email-content
resident-default.properties,mosip.address.template.property,mosip.address.template.property
resident-default.properties,resident.template.sms.success.order-a-physical-card,order-a-physical-card-success_SMS
resident-default.properties,resident.template.purpose.failure.verify-my-phone-email,verify-my-phone-email-negative-purpose
resident-default.properties,resident.template.email.subject.failure.order-a-physical-card,order-a-physical-card-failure-email-subject
resident-default.properties,resident.template.summary.success.verify-my-phone-email,verify-my-phone-email-success-summary
resident-default.properties,resident.template.sms.failure.cust-and-down-my-card,cust-and-down-my-card-failure_SMS
resident-default.properties,resident.template.purpose.success.get-my-uin-card,get-my-uin-card-positive-purpose
resident-default.properties,resident.template.bell-icon.success.verify-my-phone-email,verify-my-phone-email-success_BELL
resident-default.properties,resident.template.email.content.request-received.gen-or-revoke-vid,gen-or-revoke-vid-request-received-email-content
resident-default.properties,mosip.full.name.template.property,mosip.full.name.template.property
resident-default.properties,mosip.id.validation.identity.phone,^([6-9]{1})([0-9]{9})$
resident-default.properties,resident.template.purpose.success.verify-my-phone-email,verify-my-phone-email-positive-purpose
resident-default.properties,resident.template.sms.failure.vid-card-download,vid-card-download-failure_SMS
resident-default.properties,resident.template.email.subject.failure.gen-or-revoke-vid,gen-or-revoke-vid-failure-email-subject
resident-default.properties,resident.template.email.content.failure.share-cred-with-partner,share-cred-with-partner-failure-email-content
resident-default.properties,resident.flag.use-vid-only,true
resident-default.properties,mosip.kernel.otp.default-length,6
resident-default.properties,resident.filename.datetime.pattern,yyyy-MM-dd'T'HH_mm_ss
resident-default.properties,GENDER_TYPE_BY_LANGCODE,${MASTER}/gendertypes/{langcode}
resident-default.properties,resident.template.email.content.success.lock-unlock-auth,lock-unlock-auth-success-email-content
resident-default.properties,resident.template.sms.failure.lock-unlock-auth,lock-unlock-auth-failure_SMS
resident-default.properties,resident.ui.datetime.pattern,yyyy-MM-dd HH:mm:ss
resident-default.properties,resident.template.purpose.failure.update-demo-data,update-demo-data-negative-purpose
resident-default.properties,resident.template.email.subject.request-received.share-cred-with-partner,share-cred-with-partner-request-received-email-subject
resident-default.properties,resident.template.purpose.failure.lock-unlock-auth,lock-unlock-auth-negative-purpose
resident-default.properties,resident.template.sms.request-received.verify-my-phone-email,verify-my-phone-email-request-received_SMS
resident-default.properties,resident.template.email.subject.request-received.vid-card-download,vid-card-download-request-received-email-subject
resident-default.properties,resident.template.sms.success.vid-card-download,vid-card-download-success_SMS
resident-default.properties,resident.template.sms.success.share-cred-with-partner,share-cred-with-partner-success_SMS
resident-default.properties,resident.template.purpose.success.share-cred-with-partner,share-cred-with-partner-positive-purpose
resident-default.properties,resident.template.email.content.failure.get-my-uin-card,get-my-uin-card-failure-email-content
resident-default.properties,resident.template.email.content.success.cust-and-down-my-card,cust-and-down-my-card-success-email-content
resident-default.properties,resident.template.email.content.success.validate-otp,validate-otp-mail-content
resident-default.properties,mosip.defualt.template.property,mosip.defualt.template.property
resident-default.properties,resident.template.email.subject.failure.get-my-uin-card,get-my-uin-card-failure-email-subject
resident-default.properties,mosip.idp.acr.biometrics,mosip:idp:acr:biometrics
resident-default.properties,mosip.uin.template.property,mosip.uin.template.property
resident-default.properties,resident.template.email.subject.success.cust-and-down-my-card,cust-and-down-my-card-success-email-subject
resident-default.properties,resident.template.email.subject.failure.verify-my-phone-email,verify-my-phone-email-failure-email-subject
resident-default.properties,resident.template.sms.failure.get-my-uin-card,get-my-uin-card-failure_SMS
resident-default.properties,resident.template.sms.success.gen-or-revoke-vid,gen-or-revoke-vid-success_SMS
resident-default.properties,resident.template.email.subject.success.update-demo-data,update-demo-data-success-email-subject
resident-default.properties,resident.template.sms.request-received.share-cred-with-partner,share-cred-with-partner-request-received_SMS
resident-default.properties,resident.template.summary.success.vid-card-download,vid-card-download-positive-summary
resident-default.properties,resident.template.email.subject.success.order-a-physical-card,order-a-physical-card-success-email-subject
resident-default.properties,resident.template.purpose.failure.get-my-uin-card,get-my-uin-card-negative-purpose
resident-default.properties,resident.template.tnc.update-demo,tnc-update-demo
resident-default.properties,resident.template.email.subject.failure.share-cred-with-partner,share-cred-with-partner-failure-email-subject
resident-default.properties,resident.template.bell-icon.failure.verify-my-phone-email,verify-my-phone-email-failure_BELL
resident-default.properties,resident.template.email.content.failure.lock-unlock-auth,lock-unlock-auth-failure-email-content
resident-default.properties,resident.template.email.content.failure.vid-card-download,vid-card-download-failure-email-content
resident-default.properties,resident.template.purpose.success.vid-card-download,vid-card-download-positive-purpose
resident-default.properties,resident.template.summary.success.share-cred-with-partner,share-cred-with-partner-success-summary
resident-default.properties,resident.template.bell-icon.success.update-demo-data,update-demo-data-success_BELL
resident-default.properties,resident.template.bell-icon.request-received.cust-and-down-my-card,cust-and-down-my-card-request-received_BELL
resident-default.properties,resident.template.bell-icon.success.gen-or-revoke-vid,gen-or-revoke-vid-success_BELL
resident-default.properties,mosip.perpetual.vid.template.property,mosip.perpetual.vid.template.property
resident-default.properties,resident.template.bell-icon.request-received.get-my-uin-card,get-my-uin-card-request-received_BELL
resident-default.properties,resident.template.email.subject.failure.cust-and-down-my-card,cust-and-down-my-card-failure-email-subject
resident-default.properties,resident.template.sms.failure.verify-my-phone-email,verify-my-phone-email-failure_SMS
resident-default.properties,resident.template.summary.success.get-my-uin-card,get-my-uin-card-success-summary
resident-default.properties,resident.template.bell-icon.request-received.order-a-physical-card,order-a-physical-card-request-received_BELL
resident-default.properties,resident.batchjob.process.status.list,"NEW,ISSUED,RECEIVED,PRINTING,CARD_DELIVERED,PAYMENT_CONFIRMED,IN_TRANSIT"
resident-default.properties,resident.template.email.content.request-received.verify-my-phone-email,verify-my-phone-email-request-received-email-content
resident-default.properties,resident.template.sms.success.cust-and-down-my-card,cust-and-down-my-card-success_SMS
resident-default.properties,resident.template.email.content.request-received.update-demo-data,update-demo-data-request-received-email-content
resident-default.properties,resident.template.summary.success.update-demo-data,update-demo-data-success-summary
resident-default.properties,resident.template.email.content.failure.verify-my-phone-email,verify-my-phone-email-failure-email-content
resident-default.properties,resident.template.bell-icon.request-received.update-demo-data,update-demo-data-request-received_BELL
resident-default.properties,resident.template.email.subject.request-received.get-my-uin-card,get-my-uin-card-request-received-email-subject
resident-default.properties,resident.template.email.subject.success.verify-my-phone-email,verify-my-phone-email-success-email-subject
resident-default.properties,resident.template.purpose.success.lock-unlock-auth,lock-unlock-auth-positive-purpose
resident-default.properties,resident.template.sms.failure.share-cred-with-partner,share-cred-with-partner-failure_SMS
resident-default.properties,resident.template.email.subject.request-received.order-a-physical-card,order-a-physical-card-request-received-email-subject
resident-default.properties,resident.template.email.content.failure.update-demo-data,update-demo-data-failure-email-content
resident-default.properties,resident.template.sms.request-received.vid-card-download,vid-card-download-request-received_SMS
resident-default.properties,resident.template.email.subject.request-received.verify-my-phone-email,verify-my-phone-email-request-received-email-subject
resident-default.properties,resident.template.email.content.request-received.vid-card-download,vid-card-download-request-received-email-content
resident-default.properties,resident.template.purpose.success.cust-and-down-my-card,cust-and-down-my-card-positive-purpose
resident-default.properties,mosip.kernel.vid.length,16
resident-default.properties,mosip.gender.template.property,mosip.gender.template.property
resident-default.properties,resident.template.email.subject.request-received.gen-or-revoke-vid,gen-or-revoke-vid-request-received-email-subject
resident-default.properties,resident.template.sms.success.get-my-uin-card,get-my-uin-card-success_SMS
resident-default.properties,resident.template.purpose.success.update-demo-data,update-demo-data-positive-purpose
resident-default.properties,resident.template.email.content.success.send-otp,receive-otp-mail-content
resident-default.properties,resident.template.email.content.success.share-cred-with-partner,share-cred-with-partner-success-email-content
resident-default.properties,resident.template.email.content.failure.cust-and-down-my-card,cust-and-down-my-card-failure-email-content
resident-default.properties,resident.template.summary.success.lock-unlock-auth,lock-unlock-auth-success-summary
resident-default.properties,resident.template.summary.success.cust-and-down-my-card,cust-and-down-my-card-success-summary
resident-default.properties,resident.template.summary.success.order-a-physical-card,order-a-physical-card-success-summary
resident-default.properties,resident.template.bell-icon.failure.lock-unlock-auth,lock-unlock-auth-failure_BELL
resident-default.properties,resident.template.sms.success.verify-my-phone-email,verify-my-phone-email-success_SMS
resident-default.properties,resident.template.email.subject.failure.lock-unlock-auth,lock-unlock-auth-failure-email-subject
resident-default.properties,mosip.idp.otp.template.property,mosip.idp.otp.template.property
resident-default.properties,resident.template.bell-icon.request-received.verify-my-phone-email,verify-my-phone-email-request-received_BELL
resident-default.properties,resident.template.sms.request-received.order-a-physical-card,order-a-physical-card-request-received_SMS
resident-default.properties,resident.template.sms.request-received.lock-unlock-auth,lock-unlock-auth-request-received_SMS
resident-default.properties,resident.template.email.content.success.vid-card-download,vid-card-download-success-email-content
resident-default.properties,resident.template.sms.failure.gen-or-revoke-vid,gen-or-revoke-vid-failure_SMS
resident-default.properties,resident.template.email.subject.request-received.update-demo-data,update-demo-data-request-received-email-subject
resident-default.properties,resident.template.email.content.request-received.cust-and-down-my-card,cust-and-down-my-card-request-received-email-content
resident-default.properties,resident.template.bell-icon.success.share-cred-with-partner,share-cred-with-partner-success_BELL
resident-default.properties,mosip.idp.biometrics.template.property,mosip.idp.biometrics.template.property
resident-default.properties,resident.template.email.content.failure.order-a-physical-card,order-a-physical-card-failure-email-content
resident-default.properties,resident.template.sms.failure.order-a-physical-card,order-a-physical-card-failure_SMS
resident-default.properties,resident.template.email.content.success.gen-or-revoke-vid,gen-or-revoke-vid-success-email-content
resident-default.properties,resident.template.bell-icon.success.get-my-uin-card,get-my-uin-card-success_BELL
resident-default.properties,resident.template.email.content.success.order-a-physical-card,order-a-physical-card-success-email-content
resident-default.properties,resident.template.email.content.request-received.lock-unlock-auth,lock-unlock-auth-request-received-email-content
resident-default.properties,resident.template.email.subject.failure.vid-card-download,vid-card-download-failure-email-subject
resident-default.properties,mosip.kernel.uin.length,10
resident-default.properties,mosip.kernel.rid.length,29
resident-default.properties,resident.template.email.content.request-received.get-my-uin-card,get-my-uin-card-request-received-email-content
resident-default.properties,resident.template.bell-icon.success.cust-and-down-my-card,cust-and-down-my-card-success_BELL
resident-default.properties,resident.template.bell-icon.failure.share-cred-with-partner,share-cred-with-partner-failure_BELL
resident-default.properties,resident.template.purpose.failure.share-cred-with-partner,share-cred-with-partner-negative-purpose
resident-default.properties,resident.template.purpose.failure.order-a-physical-card,order-a-physical-card-negative purpose
resident-default.properties,resident.template.purpose.success.gen-or-revoke-vid,gen-or-revoke-vid-positive-purpose
resident-default.properties,resident.template.sms.request-received.get-my-uin-card,get-my-uin-card-request-received_SMS
resident-default.properties,mosip.idp.acr.generated.code,mosip:idp:acr:generated-code
resident-default.properties,resident.template.bell-icon.failure.cust-and-down-my-card,cust-and-down-my-card-failure_BELL
resident-default.properties,resident.template.sms.request-received.cust-and-down-my-card,cust-and-down-my-card-request-received_SMS
resident-default.properties,resident.template.purpose.failure.vid-card-download,vid-card-download-negative-purpose
resident-default.properties,resident.template.email.subject.success.vid-card-download,vid-card-download-success-email-subject
resident-default.properties,resident.identityjson,identity-mapping.json
resident-default.properties,resident.template.tnc.share-cred-with-partner,tnc-share-cred-with-partner
resident-default.properties,resident.template.email.content.success.get-my-uin-card,get-my-uin-card-success-email-content
resident-default.properties,mosip.idp.unknown.authentication,unknown
resident-default.properties,resident.template.bell-icon.failure.order-a-physical-card,order-a-physical-card-failure_BELL
resident-default.properties,resident.template.email.subject.success.get-my-uin-card,get-my-uin-card-success-email-subject
resident-default.properties,resident.template.bell-icon.request-received.lock-unlock-auth,lock-unlock-auth-request-received_BELL
resident-default.properties,resident.template.email.subject.request-received.cust-and-down-my-card,cust-and-down-my-card-request-received-email-subject
resident-default.properties,resident.template.sms.success.send-otp,receive-otp
resident-default.properties,mosip.phone.template.property,mosip.phone.template.property
resident-default.properties,resident.template.email.subject.success.lock-unlock-auth,lock-unlock-auth-success-email-subject
resident-default.properties,resident.template.sms.success.lock-unlock-auth,lock-unlock-auth-success_SMS
resident-default.properties,resident.template.bell-icon.request-received.gen-or-revoke-vid,gen-or-revoke-vid-request-received_BELL
resident-default.properties,resident.template.email.content.failure.gen-or-revoke-vid,gen-or-revoke-vid-failure-email-content
resident-default.properties,resident.template.bell-icon.success.lock-unlock-auth,lock-unlock-auth-success_BELL
resident-default.properties,resident.template.purpose.failure.cust-and-down-my-card,cust-and-down-my-card-negative-purpose
resident-default.properties,resident.template.bell-icon.failure.gen-or-revoke-vid,gen-or-revoke-vid-failure_BELL
resident-default.properties,resident.template.sms.failure.update-demo-data,update-demo-data-failure_SMS
resident-default.properties,resident.template.sms.request-received.gen-or-revoke-vid,gen-or-revoke-vid-request-received_SMS
resident-default.properties,resident.template.tnc.order-a-physical-card,tnc-order-a-physical-card
resident-default.properties,resident.template.email.content.request-received.share-cred-with-partner,share-cred-with-partner-request-received-email-content
resident-default.properties,resident.template.sms.success.validate-otp,validate-otp
resident-default.properties,resident.template.email.subject.success.send-otp,receive-otp-mail-subject
