property_file,property,value,classification,section,comment
registration-processor-default.properties,packetmanager.provider.uingenerator.postalCode,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.proofOfException,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.addressLine2,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.individualBiometrics[Finger],"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.addressLine1,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.addressLine4,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.caddressLine1,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.cregion,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.residenceStatus,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.maritalStatus,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.IDSchemaVersion,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.ccity,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.modeOfClaim,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.proofOfDateOfBirth,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.caddressLine3,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.referenceIdentityNumber,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.individualBiometrics[Iris],"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.region,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.lastName,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.proofOfIdentity,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.UIN,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.zone,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.gender,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.phone,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.proofOfAddress,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.addressLine3,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.bloodType,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.city,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.individualBiometrics[Face],"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.caddressLine2,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.caddressLine4,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.cprovince,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.suffix,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.registrationType,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.parentOrGuardianUIN,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,packetmanager.provider.uingenerator.parentOrGuardianRID,"source:REGISTRATION_CLIENT\/process:NEW|UPDATE|LOST,source:RESIDENT\/process:ACTIVATED|DEACTIVATED|RES_UPDATE|RES_REPRINT",1,1,Schama field specific implementation. Country should change according to schema
registration-processor-default.properties,registration.processor.reprocess.elapse.time,300,1,1,Country specific configuration value should be considered
registration-processor-default.properties,registration.processor.reprocess.hours,*,1,1,Country specific configuration value should be considered
registration-processor-default.properties,mosip.registration.processor.database.port,5432,1,1,Country specific configuration value should be considered
registration-processor-default.properties,registration.processor.LANDING_ZONE,/mnt/landing,1,1,country specific settings should take precedence
registration-processor-default.properties,mosip.regproc.packet.classifier.tagging.agegroup.ranges,"{'INFANT':'0-5','MINOR':'6-17','ADULT':'18-200'}",1,1,country specific settings should take precedence
registration-processor-default.properties,mosip.kernel.virus-scanner.host,,1,1,country specific settings should take precedence
registration-processor-default.properties,registration.processor.reprocess.minutes:,0,1,1,country specific settings should take precedence
registration-processor-default.properties,mosip.kernel.virus-scanner.port:,3310,1,1,country specific settings should take precedence
registration-processor-default.properties,registration.processor.queue.username:,artemis,1,1,country specific settings should take precedence
registration-default.properties,mosip.registration.num_of_fingerprint_retries,3,1,1,Country specific
registration-default.properties,mosip.registration.num_of_iris_retries,3,1,1,Country specific
registration-default.properties,mosip.registration.num_of_face_retries,3,1,1,Country specific
registration-default.properties,mosip.registration.leftslap_fingerprint_threshold,40,1,1,Country specific
registration-default.properties,mosip.registration.rightslap_fingerprint_threshold,40,1,1,Country specific
registration-default.properties,mosip.registration.thumbs_fingerprint_threshold,40,1,1,Country specific
registration-default.properties,mosip.registration.iris_threshold,60,1,1,Country specific
registration-default.properties,mosip.registration.face_threshold,90,1,1,Country specific
registration-default.properties,mosip.registration.document_size,2000000,1,1,Country specific (in bytes)
registration-default.properties,mosip.registration.uin.update.configured.fields,,1,1,Country specific 
registration-default.properties,mosip.registration.pre_reg_no_of_days_limit,7,1,1,Country specific 
registration-default.properties,mosip.registration.capture_time_out,10000,1,1,Country specific 
registration-default.properties,mosip.registration.reg_pak_max_cnt_apprv_limit,100,1,1,Country specific 
registration-default.properties,mosip.registration.reg_pak_max_time_apprv_limit,100,1,1,Country specific 
registration-default.properties,mosip.registration.audit_log_deletion_configured_days,10,1,1,Country specific 
registration-default.properties,mosip.registration.reg_deletion_configured_days,1,1,1,Country specific 
registration-default.properties,mosip.registration.pre_reg_deletion_configured_days,1,1,1,Country specific 
registration-default.properties,mosip.registration.sync_transaction_no_of_days_limit,5,1,1,Country specific 
registration-default.properties,mosip.registration.last_export_registration_config_time,100,1,1,Country specific 
registration-default.properties,mosip.registration.registration_packet_store_location,..//PacketStore,1,1,Country specific 
registration-default.properties,mosip.registration.registration_pre_reg_packet_location,..//PreRegPacketStore,1,1,Country specific 
registration-default.properties,mosip.registration.document_scanner_enabled,No,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.mds.deduplication.enable.flag,N,1,1,Country specific 
registration-default.properties,mosip.registration.supervisor_approval_config_flag,Y,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.max_age,150,1,1,Required for backward compatibility only
registration-default.properties,mosip.registration.mdm.portRangeFrom,4501,1,1,Country specific 
registration-default.properties,mosip.registration.mdm.portRangeTo,4600,1,1,Country specific 
registration-default.properties,mosip.biometric.sdk.provider.finger.classname,io.mosip.mock.sdk.impl.SampleSDK,1,2,Required for backward compatibility only
registration-default.properties,mosip.biometric.sdk.provider.finger.version,0.9,1,2,Required for backward compatibility only
registration-default.properties,mosip.biometric.sdk.provider.finger.args,,1,2,Required for backward compatibility only
registration-default.properties,mosip.biometric.sdk.provider.finger.threshold,60,1,2,Required for backward compatibility only
registration-default.properties,mosip.biometric.sdk.provider.iris.classname,io.mosip.mock.sdk.impl.SampleSDK,1,2,Required for backward compatibility only
registration-default.properties,mosip.biometric.sdk.provider.iris.version,0.9,1,2,Required for backward compatibility only
registration-default.properties,mosip.biometric.sdk.provider.iris.args,,1,2,Required for backward compatibility only
registration-default.properties,mosip.biometric.sdk.provider.iris.threshold,60,1,2,Required for backward compatibility only
registration-default.properties,mosip.biometric.sdk.provider.face.classname,io.mosip.mock.sdk.impl.SampleSDK,1,2,Required for backward compatibility only
registration-default.properties,mosip.biometric.sdk.provider.face.version,0.9,1,2,Required for backward compatibility only
registration-default.properties,mosip.biometric.sdk.provider.face.args,,1,2,Required for backward compatibility only
registration-default.properties,mosip.biometric.sdk.provider.face.threshold,60,1,2,Required for backward compatibility only
registration-default.properties,mosip.kernel.idobjectvalidator.schema-name,mosip-identity-json-schema.json,1,2,Required for backward compatibility only
registration-default.properties,mosip.kernel.idobjectvalidator.file-storage-uri,LOCAL,1,2,Required for backward compatibility only
registration-default.properties,mosip.kernel.idobjectvalidator.property-source,LOCAL,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.mdm.hostProtocol,http,1,2,Required for backward compatibility only
registration-default.properties,mosip.mdm.enabled,TRUE,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.ui_sync_data,y,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.Login_Credentials_Sync.frequency,190,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.consent_fra,"Je comprends que les données recueillies à mon sujet lors de la enregistrement par ladite autorité comprennent mon -  <br> &#x2022 nom <br>&#x2022 Date de naissance <br>&#x2022 genre <br>&#x2022 adresse <br>&#x2022 coordonnées <br>&#x2022 Documents <br>Je comprends également que ces informations seront stockées et traitées dans le but de vérifier mon identité afin d'accéder à divers services, ou de se conformer à une obligation légale. Je donne mon consentement pour la collecte de ces données à cette fin.
",1,2,Required for backward compatibility only
registration-default.properties,mosip.camera.resolution.width,2592,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.eod_process_config_flag,Y,1,2,Required for backward compatibility only
registration-default.properties,mosip.id.validation.identity.CNIENumber,"^([0-9]{10,30})$",1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.important_guidelines_eng,COUNTRY TO DEFINE THE TEXT OF GUIDELINES,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.mds.iris.dedup.enable.flag,N,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.mds.face.dedup.enable.flag,N,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.consent_eng,"I understand that the data collected about me during registration by the said authority includes my -<br>&#x2022 Name <br> &#x2022 Date of birth <br> &#x2022 Gender <br> &#x2022 Address <br> &#x2022 Contact details <br> &#x2022 Documents <br> I also understand that this information will be stored and processed for the purpose of verifying my identity in order to access various services, or to comply with a legal obligation. I give my consent for the collection of this data for this purpose. ",1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.cbeff_only_unique_tags,Y,1,2,Required for backward compatibility only
registration-default.properties,current_mdm_spec,0.9.2,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.re_capture_time,10,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.fingerprint_enable_flag,Y,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.mds.fingerprint.dedup.enable.flag,N,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.important_guidelines_ara,COUNTRY TO DEFINE THE TEXT OF GUIDELINES,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.webcam_name,logitech,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.User_Role_Setup_Sync.frequency,190,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.face_recapture_time,5,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.key_policy_sync_threshold_value,1,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.send_notification_disable_flag,y,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.mdm.contextPath,,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.face_enable_flag,Y,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.important_guidelines_fra,COUNTRY TO DEFINE THE TEXT OF GUIDELINES,1,2,Required for backward compatibility only
registration-default.properties,mosip.id.validation.identity.referenceIdentityNumber,"^([0-9]{10,30})$",1,2,Required for backward compatibility only
registration-default.properties,mosip.camera.resolution.height,1944,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.consent_ara," أدرك أن البيانات التي تم جمعها عني أثناء التسجيل من قِبل السلطة المذكورة تتضمن بياناتي  -  <br> &#x2022 الاسم <br>&#x2022 تاريخ الميلاد <br>&#x2022 نوع الجنس <br>&#x2022 العنوان <br>&#x2022 تفاصيل الاتصال <br>&#x2022  الوثائق <br> كما أفهم أنه سيتم تخزين هذه المعلومات ومعالجتها بغرض التحقق من هويتي من أجل الوصول إلى خدمات مختلفة، أو الامتثال لالتزام قانوني. وأوافق على جمع هذه البيانات لهذا الغرض. 
",1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.iris_enable_flag,Y,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.user_on_board_threshold_limit,1,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.quality_score,60,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.webcam_library_name,sarxos,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.DOCUMENT_SCANNER_DEPTH,100,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.document_scanner_dpi,75,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.document_scanner_brightness,10,1,2,Required for backward compatibility only
registration-default.properties,mosip.registration.document_scanner_contrast,10,1,2,Required for backward compatibility only
registration-default.properties,mosip.face_authentication.quality_score,30,2,3,Depends on the quality of biometrics returned by MDS
registration-default.properties,mosip.fingerprint_authentication.quality_score,30,2,3,Depends on the quality of biometrics returned by MDS
registration-default.properties,mosip.iris_authentication.quality_score,30,2,3,Depends on the quality of biometrics returned by MDS
,,,,,
registration-default.properties,mosip.biometric.sdk.providers.finger.mockvendor.version,0.9,2,3,Depends on the BIO SDK vendor implementation
registration-default.properties,mosip.biometric.sdk.providers.finger.mockvendor.args,,2,3,Depends on the BIO SDK vendor implementation
registration-default.properties,mosip.biometric.sdk.providers.finger.mockvendor.classname,io.mosip.mock.sdk.impl.SampleSDK,2,3,Depends on the BIO SDK vendor implementation
registration-default.properties,mosip.biometric.sdk.providers.finger.mockvendor.threshold,30,2,3,Depends on the BIO SDK vendor implementation
registration-default.properties,mosip.biometric.sdk.providers.iris.mockvendor.version,0.9,2,3,Depends on the BIO SDK vendor implementation
registration-default.properties,mosip.biometric.sdk.providers.iris.mockvendor.args,,2,3,Depends on the BIO SDK vendor implementation
registration-default.properties,mosip.biometric.sdk.providers.iris.mockvendor.classname,io.mosip.mock.sdk.impl.SampleSDK,2,3,Depends on the BIO SDK vendor implementation
