Property file name,Key,Old Value,Latest Value,Property Category,Configuration Action
registration-processor-default.properties,camel.secure.active.flows.file.names,"registration-processor-camel-routes-new-default.xml,registration-processor-camel-routes-update-default.xml,registration-processor-camel-routes-activate-default.xml,registration-processor-camel-routes-res-update-default.xml,registration-processor-camel-routes-deactivate-default.xml,registration-processor-camel-routes-lost-default.xml,registration-processor-camel-routes-res-reprint-default.xml,registration-processor-camel-routes-biometric-correction-default.xml,registration-processor-camel-routes-opencrvs_new-default.xml","registration-processor-camel-routes-new-default.xml,registration-processor-camel-routes-update-default.xml,registration-processor-camel-routes-activate-default.xml,registration-processor-camel-routes-res-update-default.xml,registration-processor-camel-routes-deactivate-default.xml,registration-processor-camel-routes-lost-default.xml,registration-processor-camel-routes-res-reprint-default.xml,registration-processor-camel-routes-biometric-correction-default.xml,registration-processor-camel-routes-opencrvs_new-default.xml,registration-processor-camel-routes-infant-crvs_new-default.xml,registration-processor-camel-routes-crvs_death-default.xml,registration-processor-camel-routes-backward-compatibility-default.xml",N/A,update-if-old-value-takes-priority
registration-processor-default.properties,mosip.regproc.cmd-validator.center-validation.processes,"NEW,UPDATE,LOST,BIOMETRIC_CORRECTION","NEW,UPDATE,LOST,BIOMETRIC_CORRECTION,CRVS_NEW,CRVS_DEATH",N/A,update-if-old-value-takes-priority
registration-processor-default.properties,mosip.regproc.packet.validator.validate-applicant-document.processes,"NEW,UPDATE,LOST,BIOMETRIC_CORRECTION","NEW,UPDATE,LOST,BIOMETRIC_CORRECTION,CRVS_NEW,CRVS_DEATH",N/A,update-if-old-value-takes-priority
registration-processor-default.properties,mosip.regproc.landing.zone.inital.delay.millisecs,300000,120000,N/A,update-if-old-value-takes-priority
registration-processor-default.properties,mosip.regproc.landing.zone.fixed.delay.millisecs,86400000,120000,N/A,update-if-old-value-takes-priority
registration-processor-default.properties,mosip.regproc.landing.zone.type,DMZServer,ObjectStore,N/A,update-if-old-value-takes-priority
resident-default.properties,mosip.resident.keymanager.decrypt-uri,${mosip.kernel.keymanager.url}/v1/keymanager/decrypt,${KEYMANAGER}/decrypt,N/A,update-if-old-value-takes-priority
resident-default.properties,mosip.max.file.upload.size.in.bytes,2000000,2306867,N/A,update-if-old-value-takes-priority
resident-default.properties,IDREPO_IDENTITY_UPDATE_COUNT,${mosip.idrepo.identity.url}/idrepository/v1/identity/{individualId}/update-counts,${IDREPO_IDENTITY}/{individualId}/update-counts,N/A,update-if-old-value-takes-priority
resident-default.properties,PACKETRECEIVER,http://regproc-group1.regproc/registrationprocessor/v1/packetreceiver/registrationpackets,${mosip.packet.receiver.url}/registrationprocessor/v1/packetreceiver/registrationpackets,N/A,update-if-old-value-takes-priority
resident-default.properties,IDAUTHCREATEVID,${mosip.idrepo.vid.url}/idrepository/v1/vid,${IDREPO_VID},N/A,update-if-old-value-takes-priority
resident-default.properties,GETUINBYVID,${mosip.idrepo.vid.url}/idrepository/v1/vid,${IDREPO_VID},N/A,update-if-old-value-takes-priority
resident-default.properties,mosip.iam.token_endpoint,${mosip.iam.base.url}/oauth/token,${mosip.iam.base.url}/oauth/v2/token,N/A,update-if-old-value-takes-priority
resident-default.properties,mosip.keymanager.jwt.sign.end.point,${mosip.kernel.keymanager.url}/v1/keymanager/jwtSign,${KEYMANAGER}/jwtSign,N/A,update-if-old-value-takes-priority
resident-default.properties,CREATEVID,${mosip.idrepo.vid.url}/idrepository/v1/vid,${IDREPO_VID},N/A,update-if-old-value-takes-priority
resident-default.properties,OTP_GEN_URL,${mosip.ida.internal.url}/idauthentication/v1/internal/otp,${IDA_INTERNAL}/otp,N/A,update-if-old-value-takes-priority
resident-default.properties,hibernate.show_sql,false,true,N/A,update-if-old-value-takes-priority
resident-default.properties,POLICY_REQ_URL,${mosip.pms.partnermanager.url}/v1/partnermanager/partners/{partnerId}/credentialtype/{credentialType}/policies,${PMS_PARTNER_MANAGER}/partners/{partnerId}/credentialtype/{credentialType}/policies,N/A,update-if-old-value-takes-priority
resident-default.properties,GET_ORDER_STATUS_URL,${mosip.resident.url}/resident/v1/mock/print-partner/check-order-status,${RESIDENT_SERVICE}/mock/print-partner/check-order-status,N/A,update-if-old-value-takes-priority
resident-default.properties,PARTNER_DETAILS_NEW_URL,${mosip.pms.partnermanager.url}/v1/partnermanager/partners/v2,${PMS_PARTNER_MANAGER}/partners/v2,N/A,update-if-old-value-takes-priority
resident-default.properties,mosip.iam.module.clientID,sK-zOe1Ke6X-f83yRpR4sOHxuPAWNZ5vzEpOjCyKWMk,${resident.oidc.clientid},N/A,update-if-old-value-takes-priority
resident-default.properties,mosip.resident.object.store.bucket-name,resident,${object.store.s3.bucket-name-prefix}resident,N/A,update-if-old-value-takes-priority
resident-default.properties,GET_RID_BY_INDIVIDUAL_ID,${mosip.idrepo.identity.url}/idrepository/v1/identity/rid/{individualId},${IDREPO_IDENTITY}/rid/{individualId},N/A,update-if-old-value-takes-priority
resident-default.properties,mosip.resident.keymanager.encrypt-uri,${mosip.kernel.keymanager.url}/v1/keymanager/encrypt,${KEYMANAGER}/encrypt,N/A,update-if-old-value-takes-priority
resident-default.properties,mosip.pms.pmp.partner.rest.uri,${mosip.pms.partnermanager.url}/v1/partnermanager/partners?partnerType=Online_Verification_Partner,${PMS_PARTNER_MANAGER}/partners?partnerType=${mosip.ida.partner.type},N/A,update-if-old-value-takes-priority
resident-default.properties,GET_RID_STATUS,${mosipbox.public.url}/registrationprocessor/v1/registrationtransaction/search/{rid},${mosip.regproc.transaction.service.url}/registrationprocessor/v1/registrationtransaction/search/{rid},N/A,update-if-old-value-takes-priority
resident-default.properties,DECRYPT_API_URL,${mosip.kernel.keymanager.url}/v1/keymanager/decrypt,${KEYMANAGER}/decrypt,N/A,update-if-old-value-takes-priority
resident-default.properties,IDREPOGETIDBYUIN,${mosip.idrepo.identity.url}/idrepository/v1/identity/idvid,${IDREPO_IDENTITY}/idvid,N/A,update-if-old-value-takes-priority
resident-default.properties,REGISTRATIONSTATUSSEARCH,http://regproc-status.regproc/registrationprocessor/v1/registrationstatus/externalstatus/search,${mosip.regproc.status.service.url}/registrationprocessor/v1/registrationstatus/externalstatus/search,N/A,update-if-old-value-takes-priority
resident-default.properties,PACKETSIGNPUBLICKEY,${mosip.kernel.keymanager.url}/v1/keymanager/tpmsigning/publickey,${KEYMANAGER}/tpmsigning/publickey,N/A,update-if-old-value-takes-priority
resident-default.properties,IDREPOSITORY,${mosip.idrepo.identity.url}/idrepository/v1/identity/,${IDREPO_IDENTITY}/,N/A,update-if-old-value-takes-priority
resident-default.properties,PDFSIGN,${mosip.kernel.keymanager.url}/v1/keymanager/pdf/sign,${KEYMANAGER}/pdf/sign,N/A,update-if-old-value-takes-priority
resident-default.properties,mosip.iam.module.redirecturi,${mosip.api.public.url}/resident/v1/login-redirect/,${mosip.api.internal.url}/resident/v1/login-redirect/,N/A,update-if-old-value-takes-priority
resident-default.properties,ENCRYPTURL,${mosip.kernel.keymanager.url}/v1/keymanager/encrypt,${KEYMANAGER}/encrypt,N/A,update-if-old-value-takes-priority
resident-default.properties,IDREPO_IDENTITY_URL,${mosip.idrepo.identity.url}/idrepository/v1/identity/idvid/{id},${IDREPO_IDENTITY}/idvid/{id},N/A,update-if-old-value-takes-priority
resident-default.properties,IDREPOGETIDBYRID,${mosip.idrepo.identity.url}/idrepository/v1/identity/idvid,${IDREPO_IDENTITY}/idvid,N/A,update-if-old-value-takes-priority
resident-default.properties,INTERNALAUTH,${mosip.ida.internal.url}/idauthentication/v1/internal/auth,${IDA_INTERNAL}/auth,N/A,update-if-old-value-takes-priority
resident-default.properties,mosip.service-context,/resident/v1,${server.servlet.context-path},N/A,update-if-old-value-takes-priority
resident-default.properties,RESIDENT_REQ_CREDENTIAL_URL,${mosip.resident.url}/resident/v1/req/credential/status/,${RESIDENT_SERVICE}/req/credential/status/,N/A,update-if-old-value-takes-priority
resident-default.properties,PARTNER_API_URL,${mosip.pms.partnermanager.url}/v1/partnermanager/partners,${PMS_PARTNER_MANAGER}/partners,N/A,update-if-old-value-takes-priority
resident-default.properties,AUTHTYPESTATUSUPDATE,${mosip.idrepo.identity.url}/idrepository/v1/identity/authtypes/status,${IDREPO_IDENTITY}/authtypes/status,N/A,update-if-old-value-takes-priority
resident-default.properties,INTERNALAUTHTRANSACTIONS,${mosip.ida.internal.url}/idauthentication/v1/internal/authTransactions,${IDA_INTERNAL}/authTransactions,N/A,update-if-old-value-takes-priority
resident-default.properties,mosip.iam.base.url,https://${mosip.api.public.host}/v1/esignet,https://${mosip.esignet.host}/v1/esignet,N/A,update-if-old-value-takes-priority
resident-default.properties,IDAUTHREVOKEVID,${mosip.idrepo.vid.url}/idrepository/v1/vid,${IDREPO_VID},N/A,update-if-old-value-takes-priority
resident-default.properties,mosip.resident.update.service.status.job.interval.millisecs,60000,600000,N/A,update-if-old-value-takes-priority
resident-default.properties,KERNELENCRYPTIONSERVICE,${mosip.ida.internal.url}/idauthentication/v1/internal/getCertificate,${IDA_INTERNAL}/getCertificate,N/A,update-if-old-value-takes-priority
resident-default.properties,mosip.resident.grievance.url,https://${mosip.api.public.host}/resident/v1/mock/external/grievance/redressel?name={name}&emailId={email}&phoneNo={phone}&eventId={eventId},${mosip.api.public.url}${mosip.service-context}/mock/external/grievance/redressel?name={name}&emailId={email}&phoneNo={phone}&eventId={eventId},N/A,update-if-old-value-takes-priority
resident-default.properties,RETRIEVE_VIDS,${mosip.idrepo.vid.url}/idrepository/v1/vid/uin/,${IDREPO_VID}/uin/,N/A,update-if-old-value-takes-priority
resident-default.properties,mosip.service.end-points,"/**/req/otp,/**/proxy/**/*,/**/validate-otp,/**/channel/verification-status,/**/req/credential/**,/**/req/card/*,/**/req/auth-history,/**/rid/check-status,/**/req/auth-lock,/**/req/auth-unlock,/**/req/update-uin,/**/req/print-uin,/**/req/euin,/**/credential/types,/**/req/policy/**,/**/aid/status,/**/individualId/otp,/**/mock/**,/**/callback/**,/**/download-card,/**/download/registration-centers-list/**,/**/download/supporting-documents/**,/**/vid/policy,/**/vid,/vid/**,/**/download/nearestRegistrationcenters/**,/**/authorize/admin/validateToken,/**/logout/user,/**/aid-stage/**","/**/req/otp,/**/proxy/**,/**/validate-otp,/**/channel/verification-status/**,/**/req/credential/**,/**/req/card/*,/**/req/auth-history,/**/rid/check-status,/**/req/auth-lock,/**/req/auth-unlock,/**/req/update-uin,/**/req/print-uin,/**/req/euin,/**/credential/types,/**/req/policy/**,/**/aid/status,/**/individualId/otp,/**/mock/**,/**/callback/**,/**/download-card,/**/download/registration-centers-list/**,/**/download/supporting-documents/**,/**/vid/policy,/**/vid,/vid/**,/**/download/nearestRegistrationcenters/**,/**/authorize/admin/validateToken,/**/logout/user,/**/aid-stage/**",N/A,update-if-old-value-takes-priority
resident-default.properties,resident.template.email.subject.request-received.order-a-physical-card,order-a-physical-card-request-received-email-subject,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.content.success.validate-otp,validate-otp-mail-content,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.subject.request-received.share-cred-with-partner,share-cred-with-partner-request-received-email-subject,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.bell-icon.success.lock-unlock-auth,lock-unlock-auth-success_BELL,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.bell-icon.request-received.order-a-physical-card,order-a-physical-card-request-received_BELL,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.summary.success.verify-my-phone-email,verify-my-phone-email-success-summary,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.bell-icon.request-received.cust-and-down-my-card,cust-and-down-my-card-request-received_BELL,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.sms.request-received.vid-card-download,vid-card-download-request-received_SMS,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.content.failure.gen-or-revoke-vid,gen-or-revoke-vid-failure-email-content,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.purpose.success.update-demo-data,update-demo-data-positive-purpose,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.sms.failure.share-cred-with-partner,share-cred-with-partner-failure_SMS,,N/A,copy-property-if-required-in-lts
id-authentication-default.properties,mosip.ida.ondemand.template.extraction.partner.id,mpartner-default-tempextraction,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.content.request-received.lock-unlock-auth,lock-unlock-auth-request-received-email-content,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.sms.success.share-cred-with-partner,share-cred-with-partner-success_SMS,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.subject.success.order-a-physical-card,order-a-physical-card-success-email-subject,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.subject.request-received.gen-or-revoke-vid,gen-or-revoke-vid-request-received-email-subject,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.content.failure.verify-my-phone-email,verify-my-phone-email-failure-email-content,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.sms.request-received.order-a-physical-card,order-a-physical-card-request-received_SMS,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.content.request-received.verify-my-phone-email,verify-my-phone-email-request-received-email-content,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.purpose.success.get-my-uin-card,get-my-uin-card-positive-purpose,,N/A,copy-property-if-required-in-lts
resident-default.properties,mosip.kernel.vid.length,16,,N/A,copy-property-if-required-in-lts
resident-default.properties,mosip.idp.otp.template.property,mosip.idp.otp.template.property,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.content.success.cust-and-down-my-card,cust-and-down-my-card-success-email-content,,N/A,copy-property-if-required-in-lts
resident-default.properties,mosip.id.validation.identity.phone,^([6-9]{1})([0-9]{9})$,,N/A,copy-property-if-required-in-lts
resident-default.properties,mosip.kernel.rid.length,29,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.bell-icon.failure.cust-and-down-my-card,cust-and-down-my-card-failure_BELL,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.sms.request-received.verify-my-phone-email,verify-my-phone-email-request-received_SMS,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.subject.failure.verify-my-phone-email,verify-my-phone-email-failure-email-subject,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.summary.success.vid-card-download,vid-card-download-positive-summary,,N/A,copy-property-if-required-in-lts
partner-management-default.properties,mosip.pms.partneradmin.role,PARTNER_ADMIN,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.subject.success.gen-or-revoke-vid,gen-or-revoke-vid-success-email-subject,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.bell-icon.failure.get-my-uin-card,get-my-uin-card-failure_BELL,,N/A,copy-property-if-required-in-lts
resident-default.properties,GENDER_TYPE_BY_LANGCODE,${MASTER}/gendertypes/{langcode},,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.identityjson,identity-mapping.json,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.summary.success.order-a-physical-card,order-a-physical-card-success-summary,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.subject.success.update-demo-data,update-demo-data-success-email-subject,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.subject.request-received.get-my-uin-card,get-my-uin-card-request-received-email-subject,,N/A,copy-property-if-required-in-lts
resident-default.properties,mosip.address.template.property,mosip.address.template.property,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.sms.failure.cust-and-down-my-card,cust-and-down-my-card-failure_SMS,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.purpose.failure.get-my-uin-card,get-my-uin-card-negative-purpose,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.sms.success.verify-my-phone-email,verify-my-phone-email-success_SMS,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.sms.success.send-otp,receive-otp,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.purpose.failure.lock-unlock-auth,lock-unlock-auth-negative-purpose,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.purpose.success.order-a-physical-card,order-a-physical-card-positive purpose,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.content.request-received.order-a-physical-card,order-a-physical-card-request-received-email-content,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.sms.success.order-a-physical-card,order-a-physical-card-success_SMS,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.bell-icon.failure.lock-unlock-auth,lock-unlock-auth-failure_BELL,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.subject.failure.lock-unlock-auth,lock-unlock-auth-failure-email-subject,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.subject.request-received.update-demo-data,update-demo-data-request-received-email-subject,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.bell-icon.success.cust-and-down-my-card,cust-and-down-my-card-success_BELL,,N/A,copy-property-if-required-in-lts
resident-default.properties,mosip.date.of.birth.template.property,mosip.date.of.birth.template.property,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.sms.failure.update-demo-data,update-demo-data-failure_SMS,,N/A,copy-property-if-required-in-lts
resident-default.properties,mosip.email.template.property,mosip.email.template.property,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.content.request-received.update-demo-data,update-demo-data-request-received-email-content,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.content.failure.order-a-physical-card,order-a-physical-card-failure-email-content,,N/A,copy-property-if-required-in-lts
application-default.properties,logging.level.root,INFO,,N/A,copy-property-if-required-in-lts
resident-default.properties,mosip.uin.template.property,mosip.uin.template.property,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.sms.failure.lock-unlock-auth,lock-unlock-auth-failure_SMS,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.content.request-received.cust-and-down-my-card,cust-and-down-my-card-request-received-email-content,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.sms.request-received.gen-or-revoke-vid,gen-or-revoke-vid-request-received_SMS,,N/A,copy-property-if-required-in-lts
id-authentication-default.properties,ida-topic-on-demand-template-extraction,AUTHENTICATION_ERRORS,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.summary.success.cust-and-down-my-card,cust-and-down-my-card-success-summary,,N/A,copy-property-if-required-in-lts
resident-default.properties,mosip.perpetual.vid.template.property,mosip.perpetual.vid.template.property,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.bell-icon.failure.share-cred-with-partner,share-cred-with-partner-failure_BELL,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.content.success.verify-my-phone-email,verify-my-phone-email-success-email-content,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.bell-icon.failure.order-a-physical-card,order-a-physical-card-failure_BELL,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.purpose.success.verify-my-phone-email,verify-my-phone-email-positive-purpose,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.bell-icon.success.gen-or-revoke-vid,gen-or-revoke-vid-success_BELL,,N/A,copy-property-if-required-in-lts
resident-default.properties,mosip.gender.template.property,mosip.gender.template.property,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.tnc.update-demo,tnc-update-demo,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.purpose.failure.share-cred-with-partner,share-cred-with-partner-negative-purpose,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.subject.success.lock-unlock-auth,lock-unlock-auth-success-email-subject,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.sms.request-received.share-cred-with-partner,share-cred-with-partner-request-received_SMS,,N/A,copy-property-if-required-in-lts
resident-default.properties,mosip.idp.acr.biometrics,mosip:idp:acr:biometrics,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.content.failure.lock-unlock-auth,lock-unlock-auth-failure-email-content,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.subject.success.get-my-uin-card,get-my-uin-card-success-email-subject,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.summary.success.gen-or-revoke-vid,gen-or-revoke-vid-success-summary,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.bell-icon.request-received.verify-my-phone-email,verify-my-phone-email-request-received_BELL,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.tnc.order-a-physical-card,tnc-order-a-physical-card,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.purpose.failure.verify-my-phone-email,verify-my-phone-email-negative-purpose,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.sms.success.vid-card-download,vid-card-download-success_SMS,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.bell-icon.request-received.get-my-uin-card,get-my-uin-card-request-received_BELL,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.summary.success.get-my-uin-card,get-my-uin-card-success-summary,,N/A,copy-property-if-required-in-lts
resident-default.properties,mosip.idp.unknown.authentication,unknown,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.bell-icon.failure.update-demo-data,update-demo-data-failure_BELL,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.bell-icon.request-received.update-demo-data,update-demo-data-request-received_BELL,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.purpose.success.cust-and-down-my-card,cust-and-down-my-card-positive-purpose,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.bell-icon.request-received.share-cred-with-partner,share-cred-with-partner-request-received_BELL,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.sms.failure.gen-or-revoke-vid,gen-or-revoke-vid-failure_SMS,,N/A,copy-property-if-required-in-lts
resident-default.properties,mosip.defualt.template.property,mosip.defualt.template.property,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.subject.failure.vid-card-download,vid-card-download-failure-email-subject,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.subject.request-received.verify-my-phone-email,verify-my-phone-email-request-received-email-subject,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.summary.success.lock-unlock-auth,lock-unlock-auth-success-summary,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.subject.failure.get-my-uin-card,get-my-uin-card-failure-email-subject,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.content.success.send-otp,receive-otp-mail-content,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.subject.failure.cust-and-down-my-card,cust-and-down-my-card-failure-email-subject,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.email.content.success.gen-or-revoke-vid,gen-or-revoke-vid-success-email-content,,N/A,copy-property-if-required-in-lts
resident-default.properties,resident.template.bell-icon.request-received.gen-or-revoke-vid,gen-or-revoke-vid-request-received_BELL,,N/A,copy-property-if-required-in-lts
