regcntr_id,usr_id,machine_id,lang_code,is_active,cr_by,cr_dtimes,eff_dtimes
10008,110091,10088,eng,TRUE,superadmin,now(),now()
10008,110092,10089,eng,TRUE,superadmin,now(),now()
10008,110093,10090,eng,TRUE,superadmin,now(),now()
10008,110094,10091,eng,TRUE,superadmin,now(),now()
10008,110095,10092,eng,TRUE,superadmin,now(),now()
10008,110096,10093,eng,TRUE,superadmin,now(),now()
10008,110097,10094,eng,TRUE,superadmin,now(),now()
10008,110098,10095,eng,TRUE,superadmin,now(),now()
10008,110099,10096,eng,TRUE,superadmin,now(),now()
10008,110100,10097,eng,TRUE,superadmin,now(),now()
10008,110101,10098,eng,TRUE,superadmin,now(),now()
