id,name,mac_address,serial_num,ip_address,dspec_id,zone_code,lang_code,is_active,cr_by,cr_dtimes,eff_dtimes
3000039,Dummy Finger Print Scanner 19,91-16-2F-35-1F-9F,RU3582050357,,165,SOS,eng,TRUE,superadmin,now(),now()
3000040,Dummy Finger Print Scanner 20,CB-B1-03-83-80-1D,RB2496727160,,165,SOS,eng,TRUE,superadmin,now(),now()
3000041,Dummy IRIS Scanner 1,11-FB-CF-6A-BF-29,JN7935692567,,327,NTH,eng,TRUE,superadmin,now(),now()
3000042,Dummy IRIS Scanner 2,6D-A3-60-2E-B8-2F,RI8899475915,,327,NTH,eng,TRUE,superadmin,now(),now()
3000043,Dummy IRIS Scanner 3,08-4B-68-23-1A-E6,VK7923826383,,327,NTH,eng,TRUE,superadmin,now(),now()
3000044,Dummy IRIS Scanner 4,DE-BE-02-60-64-4D,BB4283888901,,327,RSK,eng,TRUE,superadmin,now(),now()
3000045,Dummy IRIS Scanner 5,BC-B8-7F-F8-2F-30,WO3546102256,,327,CST,eng,TRUE,superadmin,now(),now()
3000046,Dummy IRIS Scanner 6,52-D5-92-5A-27-04,DB5096746741,,327,ORT,eng,TRUE,superadmin,now(),now()
3000047,Dummy IRIS Scanner 7,BB-DC-5F-96-F3-27,UV7414544701,,327,NTH,eng,TRUE,superadmin,now(),now()
3000048,Dummy IRIS Scanner 8,77-A4-F0-6A-C6-53,WE2561122989,,327,STH,eng,TRUE,superadmin,now(),now()
3000049,Dummy IRIS Scanner 9,85-90-5D-B6-99-BC,FT1784603649,,327,STH,eng,TRUE,superadmin,now(),now()
3000050,Dummy IRIS Scanner 10,D0-18-F8-41-82-E9,DO4062011061,,327,STH,eng,TRUE,superadmin,now(),now()
3000051,Dummy IRIS Scanner 11,A1-67-FA-CB-41-6E,DN3548264249,,327,STH,eng,TRUE,superadmin,now(),now()
3000052,Dummy IRIS Scanner 12,F1-5B-C5-0D-9F-BE,ZI2242766000,,327,STH,eng,TRUE,superadmin,now(),now()
3000053,Dummy IRIS Scanner 13,95-79-72-7A-5B-6E,MA7270334265,,327,MRS,eng,TRUE,superadmin,now(),now()
3000054,Dummy IRIS Scanner 14,3C-C6-D3-F1-53-3C,FB6116082405,,327,MRS,eng,TRUE,superadmin,now(),now()
3000055,Dummy IRIS Scanner 15,55-67-1D-45-37-70,DZ7142509674,,327,MRS,eng,TRUE,superadmin,now(),now()
3000056,Dummy IRIS Scanner 16,12-34-54-1F-8B-27,BO1768868231,,327,MRS,eng,TRUE,superadmin,now(),now()
3000057,Dummy IRIS Scanner 17,D6-F9-DE-3C-BE-96,CG5635868300,,327,SOS,eng,TRUE,superadmin,now(),now()
3000058,Dummy IRIS Scanner 18,AA-D8-DC-3A-0A-A8,AQ8028890156,,327,SOS,eng,TRUE,superadmin,now(),now()
3000059,Dummy IRIS Scanner 19,0D-1B-B0-5A-D9-98,KM7656759005,,327,SOS,eng,TRUE,superadmin,now(),now()
3000060,Dummy IRIS Scanner 20,FA-60-AC-D0-54-1C,OZ8730264911,,327,SOS,eng,TRUE,superadmin,now(),now()
3000061,Dummy Web Camera 1,B3-62-78-07-D4-D1,H483Y8886310688,,736,NTH,eng,TRUE,superadmin,now(),now()
3000062,Dummy Web Camera 2,F8-69-DF-BD-EB-C9,B776W5630307647,,736,NTH,eng,TRUE,superadmin,now(),now()
3000063,Dummy Web Camera 3,1C-4E-80-B6-91-B3,B246I8156039605,,736,NTH,eng,TRUE,superadmin,now(),now()
3000064,Dummy Web Camera 4,66-2B-AA-8E-9C-1F,G690G1834407489,,736,RSK,eng,TRUE,superadmin,now(),now()
3000065,Dummy Web Camera 5,6C-23-A2-93-6A-0B,P343P4018421761,,736,CST,eng,TRUE,superadmin,now(),now()
3000066,Dummy Web Camera 6,CA-C8-B9-70-86-7C,K612T5314409163,,736,ORT,eng,TRUE,superadmin,now(),now()
3000067,Dummy Web Camera 7,ED-E0-CF-F5-84-20,T808S5482593162,,736,NTH,eng,TRUE,superadmin,now(),now()
3000068,Dummy Web Camera 8,44-76-FB-84-B7-5E,T440H8141411995,,736,STH,eng,TRUE,superadmin,now(),now()
3000069,Dummy Web Camera 9,EB-90-BA-9D-14-57,G748F4262964694,,736,STH,eng,TRUE,superadmin,now(),now()
3000070,Dummy Web Camera 10,F1-C5-13-C3-34-9F,I611V8660869757,,736,STH,eng,TRUE,superadmin,now(),now()
3000071,Dummy Web Camera 11,C5-DE-A4-58-43-39,L243F8897104972,,736,STH,eng,TRUE,superadmin,now(),now()
3000072,Dummy Web Camera 12,F1-D5-0B-6B-E4-B4,O161L4899257251,,736,STH,eng,TRUE,superadmin,now(),now()
3000073,Dummy Web Camera 13,46-BA-9D-E8-60-C0,E660M4336426527,,736,MRS,eng,TRUE,superadmin,now(),now()
3000074,Dummy Web Camera 14,14-69-34-B7-21-BB,N657J6419459427,,736,MRS,eng,TRUE,superadmin,now(),now()
3000075,Dummy Web Camera 15,BA-DE-90-AF-C4-6E,R169V3235864050,,736,MRS,eng,TRUE,superadmin,now(),now()
3000076,Dummy Web Camera 16,8D-28-4B-A7-F6-98,M262X1515179346,,736,MRS,eng,TRUE,superadmin,now(),now()
3000077,Dummy Web Camera 17,0F-ED-8F-0F-94-88,H706H5247430756,,736,SOS,eng,TRUE,superadmin,now(),now()
3000078,Dummy Web Camera 18,F2-D9-F8-92-F6-FB,U178N6742928759,,736,SOS,eng,TRUE,superadmin,now(),now()
3000079,Dummy Web Camera 19,76-24-19-E2-8E-30,Z405J2389264415,,736,SOS,eng,TRUE,superadmin,now(),now()
3000080,Dummy Web Camera 20,D1-2C-D9-BA-5F-FE,J499B8422627284,,736,SOS,eng,TRUE,superadmin,now(),now()
3000081,Dummy Document Scanner 1,7D-8B-8C-F7-26-BB,YZ492N3059198,,801,NTH,eng,TRUE,superadmin,now(),now()
3000082,Dummy Document Scanner 2,C7-03-1E-07-09-43,PQ446G6258097,,801,NTH,eng,TRUE,superadmin,now(),now()
3000083,Dummy Document Scanner 3,2D-42-6A-88-DD-D3,AX316T7845651,,801,NTH,eng,TRUE,superadmin,now(),now()
3000084,Dummy Document Scanner 4,51-D0-3D-0C-C8-9A,DN852J1882098,,801,RSK,eng,TRUE,superadmin,now(),now()
3000085,Dummy Document Scanner 5,15-0E-16-DC-5D-EF,NZ835F8845883,,801,CST,eng,TRUE,superadmin,now(),now()
3000086,Dummy Document Scanner 6,A1-14-9D-DB-BB-3D,YH676L1553087,,801,ORT,eng,TRUE,superadmin,now(),now()
3000087,Dummy Document Scanner 7,11-12-FC-9B-04-32,FA289M3966558,,801,NTH,eng,TRUE,superadmin,now(),now()
3000088,Dummy Document Scanner 8,CC-36-6D-22-37-F3,MW885R6611606,,801,STH,eng,TRUE,superadmin,now(),now()
3000089,Dummy Document Scanner 9,B0-64-72-AC-0A-6A,JN394V7692882,,801,STH,eng,TRUE,superadmin,now(),now()
3000090,Dummy Document Scanner 10,97-87-6F-EC-D7-2E,TI722K3165298,,801,STH,eng,TRUE,superadmin,now(),now()
3000091,Dummy Document Scanner 11,11-04-C3-F8-D8-9A,FX732Z5252370,,801,STH,eng,TRUE,superadmin,now(),now()
3000092,Dummy Document Scanner 12,47-B4-B3-4D-BB-45,VT734N2769444,,801,STH,eng,TRUE,superadmin,now(),now()
3000093,Dummy Document Scanner 13,E6-CC-ED-F7-13-AA,IH388E6791241,,801,MRS,eng,TRUE,superadmin,now(),now()
3000094,Dummy Document Scanner 14,CE-18-A0-46-C1-CD,PU384C8678345,,801,MRS,eng,TRUE,superadmin,now(),now()
3000095,Dummy Document Scanner 15,E2-97-2C-0D-4B-94,AV518P2059074,,801,MRS,eng,TRUE,superadmin,now(),now()
3000096,Dummy Document Scanner 16,8D-9E-FE-F1-6F-5C,SJ775T2287964,,801,MRS,eng,TRUE,superadmin,now(),now()
3000097,Dummy Document Scanner 17,1E-3D-C6-B4-1D-AC,ZY329F5640668,,801,SOS,eng,TRUE,superadmin,now(),now()
3000098,Dummy Document Scanner 18,77-DE-3A-37-F4-32,IB165Z6892288,,801,SOS,eng,TRUE,superadmin,now(),now()
3000099,Dummy Document Scanner 19,A4-CF-07-60-F5-FC,XE377J6801010,,801,SOS,eng,TRUE,superadmin,now(),now()
3000100,Dummy Document Scanner 20,68-CC-E0-08-41-17,IQ882Q6278156,,801,SOS,eng,TRUE,superadmin,now(),now()
3000101,Dummy Printer 1,79-2F-A1-5B-DC-EC,BS563Q2230804,,920,NTH,eng,TRUE,superadmin,now(),now()
3000102,Dummy Printer 2,61-AF-DD-71-76-13,XU671G7312815,,920,NTH,eng,TRUE,superadmin,now(),now()
3000103,Dummy Printer 3,08-8F-D4-67-4E-8C,SB834K3080420,,920,NTH,eng,TRUE,superadmin,now(),now()
3000104,Dummy Printer 4,AA-7D-AE-1C-95-EF,KW333J2523776,,920,RSK,eng,TRUE,superadmin,now(),now()
3000105,Dummy Printer 5,CB-35-36-DE-9D-34,KJ648K5456084,,920,CST,eng,TRUE,superadmin,now(),now()
3000106,Dummy Printer 6,83-1B-1B-74-80-E6,RH222S2351338,,920,ORT,eng,TRUE,superadmin,now(),now()
3000107,Dummy Printer 7,04-FB-9C-F4-20-16,AA786R5772199,,920,NTH,eng,TRUE,superadmin,now(),now()
3000108,Dummy Printer 8,8C-47-48-94-F8-F8,SJ862K6197796,,920,STH,eng,TRUE,superadmin,now(),now()
3000109,Dummy Printer 9,3A-66-80-DF-85-BB,VE405O4816514,,920,STH,eng,TRUE,superadmin,now(),now()
3000110,Dummy Printer 10,1A-BB-E3-3C-99-E4,ED802X3300579,,920,STH,eng,TRUE,superadmin,now(),now()
3000111,Dummy Printer 11,CF-A6-88-9E-27-05,ZI375X3875683,,920,STH,eng,TRUE,superadmin,now(),now()
3000112,Dummy Printer 12,D7-1C-EA-96-5B-38,KT263N5154443,,920,STH,eng,TRUE,superadmin,now(),now()
3000113,Dummy Printer 13,4E-F1-04-0F-AB-8B,AW604H6874275,,920,MRS,eng,TRUE,superadmin,now(),now()
3000114,Dummy Printer 14,2C-7F-26-A8-4F-82,EW360W2704287,,920,MRS,eng,TRUE,superadmin,now(),now()
3000115,Dummy Printer 15,8C-E1-1A-A5-72-9F,FL612W3231218,,920,MRS,eng,TRUE,superadmin,now(),now()
3000116,Dummy Printer 16,A1-73-EE-D2-DC-90,LI307K6244635,,920,MRS,eng,TRUE,superadmin,now(),now()
3000117,Dummy Printer 17,95-E6-66-FB-BC-CB,NO281K8273556,,920,SOS,eng,TRUE,superadmin,now(),now()
3000118,Dummy Printer 18,91-18-5A-B4-C1-CB,VL347T8888447,,920,SOS,eng,TRUE,superadmin,now(),now()
3000119,Dummy Printer 19,FD-68-06-74-5B-1B,TN262J8370270,,920,SOS,eng,TRUE,superadmin,now(),now()
3000120,Dummy Printer 20,4C-D6-9C-DB-B4-CC,IX248Z5303484,,920,SOS,eng,TRUE,superadmin,now(),now()
3000121,Dummy Finger Print Scanner 21,7F-91-FB-EC-02-B2,SZ5912878989,,165,NTH,eng,TRUE,superadmin,now(),now()
3000122,Dummy Finger Print Scanner 22,7F-E0-CC-F9-4D-FC,SZ5912878990,,165,NTH,eng,TRUE,superadmin,now(),now()
3000123,Dummy Finger Print Scanner 23,43-85-ED-59-95-AD,SZ5912878991,,165,RSK,eng,TRUE,superadmin,now(),now()
3000124,Dummy Finger Print Scanner 24,3B-5D-36-FE-2D-09,SZ5912878992,,165,NTH,eng,TRUE,superadmin,now(),now()
3000125,Dummy Finger Print Scanner 25,7A-E6-6B-3A-30-C4,SZ5912878993,,165,ORT,eng,TRUE,superadmin,now(),now()
3000126,Dummy Finger Print Scanner 26,BC-59-89-1F-57-1A,SZ5912878994,,165,NTH,eng,TRUE,superadmin,now(),now()
3000127,Dummy Finger Print Scanner 27,68-68-A7-82-76-CC,SZ5912878995,,165,STH,eng,TRUE,superadmin,now(),now()
3000128,Dummy Finger Print Scanner 28,61-5E-47-8C-7B-C2,SZ5912878996,,165,STH,eng,TRUE,superadmin,now(),now()
3000129,Dummy Finger Print Scanner 29,22-7B-09-19-D7-C7,SZ5912878997,,165,STH,eng,TRUE,superadmin,now(),now()
3000130,Dummy IRIS Scanner 21,E9-B9-77-10-69-57,JN7935692568,,327,NTH,eng,TRUE,superadmin,now(),now()
3000131,Dummy IRIS Scanner 22,EC-90-5E-C5-76-84,JN7935692569,,327,NTH,eng,TRUE,superadmin,now(),now()
3000132,Dummy IRIS Scanner 23,40-79-3B-A5-6F-12,JN7935692570,,327,RSK,eng,TRUE,superadmin,now(),now()
3000133,Dummy IRIS Scanner 24,BF-02-DD-BF-72-F1,JN7935692571,,327,NTH,eng,TRUE,superadmin,now(),now()
3000134,Dummy IRIS Scanner 25,7B-7C-F4-68-E9-98,JN7935692572,,327,ORT,eng,TRUE,superadmin,now(),now()
3000135,Dummy IRIS Scanner 26,22-21-BB-C3-05-59,JN7935692573,,327,NTH,eng,TRUE,superadmin,now(),now()
3000136,Dummy IRIS Scanner 27,BD-1F-E1-C4-52-AA,JN7935692574,,327,STH,eng,TRUE,superadmin,now(),now()
3000137,Dummy IRIS Scanner 28,F5-F8-6E-16-39-82,JN7935692575,,327,STH,eng,TRUE,superadmin,now(),now()
3000138,Dummy IRIS Scanner 29,78-CC-3D-6D-FD-1D,JN7935692576,,327,STH,eng,TRUE,superadmin,now(),now()
3000139,Dummy Web Camera 21,73-4D-AF-D8-54-59,H483Y8886320689,,736,NTH,eng,TRUE,superadmin,now(),now()
3000140,Dummy Web Camera 22,47-E7-76-10-5E-7B,H483Y8886330690,,736,NTH,eng,TRUE,superadmin,now(),now()
3000141,Dummy Web Camera 23,B7-F0-0C-30-70-E7,H483Y8886340691,,736,RSK,eng,TRUE,superadmin,now(),now()
3000142,Dummy Web Camera 24,3D-CF-71-BC-6B-CE,H483Y8886350692,,736,NTH,eng,TRUE,superadmin,now(),now()
3000143,Dummy Web Camera 25,F3-E0-54-EF-38-55,H483Y8886360693,,736,ORT,eng,TRUE,superadmin,now(),now()
3000144,Dummy Web Camera 26,14-A5-CC-0D-6D-3E,H483Y8886370694,,736,NTH,eng,TRUE,superadmin,now(),now()
3000145,Dummy Web Camera 27,99-1B-4A-C8-40-CE,H483Y8886380695,,736,STH,eng,TRUE,superadmin,now(),now()
3000146,Dummy Web Camera 28,FD-E1-A6-F5-7B-22,H483Y8886390696,,736,STH,eng,TRUE,superadmin,now(),now()
3000147,Dummy Web Camera 29,56-5D-97-76-13-D4,H483Y8886390697,,736,STH,eng,TRUE,superadmin,now(),now()
3000148,Dummy Document Scanner 21,00-7E-9C-5F-D4-6B,YZ492N3059199,,801,NTH,eng,TRUE,superadmin,now(),now()
3000149,Dummy Document Scanner 22,68-FA-50-36-8F-4F,YZ492N3059190,,801,NTH,eng,TRUE,superadmin,now(),now()
3000150,Dummy Document Scanner 23,8A-56-30-38-F3-6B,YZ492N3059191,,801,RSK,eng,TRUE,superadmin,now(),now()
3000151,Dummy Document Scanner 24,D8-DE-E5-0B-0E-FB,YZ492N3059192,,801,NTH,eng,TRUE,superadmin,now(),now()
3000152,Dummy Document Scanner 25,06-54-57-AA-D8-27,YZ492N3059193,,801,ORT,eng,TRUE,superadmin,now(),now()
3000153,Dummy Document Scanner 26,55-11-25-DC-AD-A3,YZ492N3059194,,801,NTH,eng,TRUE,superadmin,now(),now()
3000154,Dummy Document Scanner 27,50-3C-0A-00-48-96,YZ492N3059195,,801,STH,eng,TRUE,superadmin,now(),now()
3000155,Dummy Document Scanner 28,5E-24-40-CF-F2-A3,YZ492N3059196,,801,STH,eng,TRUE,superadmin,now(),now()
3000156,Dummy Document Scanner 29,FC-47-29-B5-89-F0,YZ492N3059197,,801,STH,eng,TRUE,superadmin,now(),now()
3000157,Dummy Printer 21,23-CE-71-BA-BA-1D,BS563Q2230805,,920,NTH,eng,TRUE,superadmin,now(),now()
3000158,Dummy Printer 22,13-58-64-3B-93-81,BS563Q2230806,,920,NTH,eng,TRUE,superadmin,now(),now()
3000159,Dummy Printer 23,8A-B5-F1-CB-D1-F0,BS563Q2230807,,920,RSK,eng,TRUE,superadmin,now(),now()
3000160,Dummy Printer 24,E5-49-B2-0D-06-B5,BS563Q2230808,,920,NTH,eng,TRUE,superadmin,now(),now()
3000161,Dummy Printer 25,F9-42-11-AC-26-97,BS563Q2230809,,920,ORT,eng,TRUE,superadmin,now(),now()
3000162,Dummy Printer 26,9C-C9-7F-A3-3F-DD,BS563Q2230810,,920,NTH,eng,TRUE,superadmin,now(),now()
3000163,Dummy Printer 27,CD-E5-93-66-5D-1E,BS563Q2230811,,920,STH,eng,TRUE,superadmin,now(),now()
3000164,Dummy Printer 28,CA-BE-9C-DD-6A-7A,BS563Q2230812,,920,STH,eng,TRUE,superadmin,now(),now()
3000165,Dummy Printer 29,57-8C-B6-27-5B-18,BS563Q2230813,,920,STH,eng,TRUE,superadmin,now(),now()
3000166,Dummy Finger Print Scanner 30,D6-15-AC-80-6B-86,BS563Q2230814,,165,NTH,eng,TRUE,superadmin,now(),now()
3000167,Dummy IRIS Scanner 30,6D-58-E2-DF-74-34,BS563Q2230815,,327,NTH,eng,TRUE,superadmin,now(),now()
3000168,Dummy Web Camera 30,E2-A8-56-86-15-30,BS563Q2230816,,736,NTH,eng,TRUE,superadmin,now(),now()
3000169,Dummy Document Scanner 30,72-E8-B9-FD-63-65,BS563Q2230817,,801,NTH,eng,TRUE,superadmin,now(),now()
3000170,Dummy Printer 30,D3-F3-A4-50-AD-12,BS563Q2230818,,920,NTH,eng,TRUE,superadmin,now(),now()
3000171,Dummy Finger Print Scanner 31,06-16-D0-0B-A6-E4,BS563Q2230819,,165,NTH,eng,TRUE,superadmin,now(),now()
3000172,Dummy IRIS Scanner 31,21-78-45-AC-E9-20,BS563Q2230820,,327,NTH,eng,TRUE,superadmin,now(),now()
3000173,Dummy Web Camera 31,3C-E8-87-99-DB-FA,BS563Q2230821,,736,NTH,eng,TRUE,superadmin,now(),now()
3000174,Dummy Document Scanner 31,BF-55-53-98-40-08,BS563Q2230822,,801,NTH,eng,TRUE,superadmin,now(),now()
3000175,Dummy Printer 31,5A-43-36-46-22-EB,BS563Q2230823,,920,NTH,eng,TRUE,superadmin,now(),now()
3000176,Dummy Finger Print Scanner 32,80-75-40-E8-CA-24,BS563Q2230824,,165,NTH,eng,TRUE,superadmin,now(),now()
3000177,Dummy IRIS Scanner 32,0E-1A-14-4A-6D-3A,BS563Q2230825,,327,NTH,eng,TRUE,superadmin,now(),now()
3000178,Dummy Web Camera 32,65-13-7F-0F-F7-53,BS563Q2230826,,736,NTH,eng,TRUE,superadmin,now(),now()
3000179,Dummy Document Scanner 32,73-C4-DE-8E-C9-8D,BS563Q2230827,,801,NTH,eng,TRUE,superadmin,now(),now()
3000180,Dummy Printer 32,EC-74-AB-E0-0F-38,BS563Q2230828,,920,NTH,eng,TRUE,superadmin,now(),now()
3000181,Dummy Finger Print Scanner 33,C4-AC-0F-90-C1-30,BS563Q2230829,,165,ORT,eng,TRUE,superadmin,now(),now()
3000182,Dummy IRIS Scanner 33,B4-37-F2-E5-22-ED,BS563Q2230830,,327,ORT,eng,TRUE,superadmin,now(),now()
3000183,Dummy Web Camera 33,C7-E2-54-A1-94-D9,BS563Q2230831,,736,ORT,eng,TRUE,superadmin,now(),now()
3000184,Dummy Document Scanner 33,36-90-7D-03-13-A0,BS563Q2230832,,801,ORT,eng,TRUE,superadmin,now(),now()
3000185,Dummy Printer 33,69-58-B3-68-B4-A0,BS563Q2230833,,920,ORT,eng,TRUE,superadmin,now(),now()
3000186,Dummy Finger Print Scanner 34,94-12-8F-BC-54-CD,BS563Q2230834,,165,ORT,eng,TRUE,superadmin,now(),now()
3000187,Dummy IRIS Scanner 34,1C-02-FA-35-38-EF,BS563Q2230835,,327,ORT,eng,TRUE,superadmin,now(),now()
3000188,Dummy Web Camera 34,C4-77-81-71-58-3D,BS563Q2230836,,736,ORT,eng,TRUE,superadmin,now(),now()
3000189,Dummy Document Scanner 34,7E-9D-35-A4-1A-71,BS563Q2230837,,801,ORT,eng,TRUE,superadmin,now(),now()
3000190,Dummy Printer 34,4A-68-24-7E-8E-51,BS563Q2230838,,920,ORT,eng,TRUE,superadmin,now(),now()
3000191,Dummy Finger Print Scanner 35,FC-24-56-1C-4B-97,BS563Q2230839,,165,ORT,eng,TRUE,superadmin,now(),now()
3000192,Dummy IRIS Scanner 35,03-C2-D3-32-D9-AF,BS563Q2230840,,327,ORT,eng,TRUE,superadmin,now(),now()
3000193,Dummy Web Camera 35,E1-E6-F3-7E-0A-25,BS563Q2230841,,736,ORT,eng,TRUE,superadmin,now(),now()
3000194,Dummy Document Scanner 35,03-14-EB-CF-E8-1C,BS563Q2230842,,801,ORT,eng,TRUE,superadmin,now(),now()
3000195,Dummy Printer 35,B4-E8-D8-7B-95-28,BS563Q2230843,,920,ORT,eng,TRUE,superadmin,now(),now()
3000196,Dummy Finger Print Scanner 36,09-7D-E8-7D-8E-85,BS563Q2230844,,165,ORT,eng,TRUE,superadmin,now(),now()
3000197,Dummy IRIS Scanner 36,76-15-33-6D-2E-1B,BS563Q2230845,,327,ORT,eng,TRUE,superadmin,now(),now()
3000198,Dummy Web Camera 36,A0-0A-65-B6-E3-3C,BS563Q2230846,,736,ORT,eng,TRUE,superadmin,now(),now()
3000199,Dummy Document Scanner 36,BA-A3-82-9F-8A-5B,BS563Q2230847,,801,ORT,eng,TRUE,superadmin,now(),now()
3000200,Dummy Printer 36,EB-80-9A-B3-AB-E0,BS563Q2230848,,920,ORT,eng,TRUE,superadmin,now(),now()
3000201,Dummy Finger Print Scanner 37,09-6F-C9-B7-35-BB,BS563Q2230849,,165,ORT,eng,TRUE,superadmin,now(),now()
3000202,Dummy IRIS Scanner 37,84-B0-E0-CC-B4-C4,BS563Q2230850,,327,ORT,eng,TRUE,superadmin,now(),now()
3000203,Dummy Web Camera 37,E8-89-36-94-F0-3C,BS563Q2230851,,736,ORT,eng,TRUE,superadmin,now(),now()
3000204,Dummy Document Scanner 37,9E-3D-4E-8C-23-C1,BS563Q2230852,,801,ORT,eng,TRUE,superadmin,now(),now()
3000205,Dummy Printer 37,38-DE-DA-3B-2B-45,BS563Q2230853,,920,ORT,eng,TRUE,superadmin,now(),now()
3000206,Dummy Finger Print Scanner 38,1E-90-EC-C7-B0-4F,BS563Q2230854,,165,ORT,eng,TRUE,superadmin,now(),now()
3000207,Dummy IRIS Scanner 38,ED-B1-07-24-0F-2D,BS563Q2230855,,327,ORT,eng,TRUE,superadmin,now(),now()
3000208,Dummy Web Camera 38,95-8B-0D-11-BA-29,BS563Q2230856,,736,ORT,eng,TRUE,superadmin,now(),now()
3000209,Dummy Document Scanner 38,7E-02-E5-1D-2C-E2,BS563Q2230857,,801,ORT,eng,TRUE,superadmin,now(),now()
3000210,Dummy Printer 38,30-63-F9-09-E9-4F,BS563Q2230858,,920,ORT,eng,TRUE,superadmin,now(),now()
3000211,Dummy Finger Print Scanner 39,65-01-02-A7-1A-9F,BS563Q2230859,,165,ORT,eng,TRUE,superadmin,now(),now()
3000212,Dummy IRIS Scanner 39,FA-C1-6A-49-AA-DA,BS563Q2230860,,327,ORT,eng,TRUE,superadmin,now(),now()
3000213,Dummy Web Camera 39,3D-32-67-1C-D1-DD,BS563Q2230861,,736,ORT,eng,TRUE,superadmin,now(),now()
3000214,Dummy Document Scanner 39,47-45-2D-41-71-3D,BS563Q2230862,,801,ORT,eng,TRUE,superadmin,now(),now()
3000215,Dummy Printer 39,B7-66-13-05-13-77,BS563Q2230863,,920,ORT,eng,TRUE,superadmin,now(),now()
3000216,Dummy Finger Print Scanner 40,A8-47-91-4D-98-2B,BS563Q2230864,,165,ORT,eng,TRUE,superadmin,now(),now()
3000217,Dummy IRIS Scanner 40,57-CC-8F-93-60-98,BS563Q2230865,,327,ORT,eng,TRUE,superadmin,now(),now()
3000218,Dummy Web Camera 40,39-D4-C4-C7-C0-E5,BS563Q2230866,,736,ORT,eng,TRUE,superadmin,now(),now()
3000219,Dummy Document Scanner 40,13-3A-B5-51-C2-D4,BS563Q2230867,,801,ORT,eng,TRUE,superadmin,now(),now()
3000220,Dummy Printer 40,17-88-71-0A-BD-F7,BS563Q2230868,,920,ORT,eng,TRUE,superadmin,now(),now()
3000221,Dummy Finger Print Scanner 41,1B-ED-BD-2C-05-7B,BS563Q2230869,,165,ORT,eng,TRUE,superadmin,now(),now()
3000222,Dummy IRIS Scanner 41,BC-C7-EA-C0-14-88,BS563Q2230870,,327,ORT,eng,TRUE,superadmin,now(),now()
3000223,Dummy Web Camera 41,58-20-51-86-C6-37,BS563Q2230871,,736,ORT,eng,TRUE,superadmin,now(),now()
3000224,Dummy Document Scanner 41,35-43-BB-F6-7B-D6,BS563Q2230872,,801,ORT,eng,TRUE,superadmin,now(),now()
3000225,Dummy Printer 41,59-66-DE-E3-61-3B,BS563Q2230873,,920,ORT,eng,TRUE,superadmin,now(),now()
3000226,Dummy Finger Print Scanner 42,2B-1F-24-65-9A-94,BS563Q2230874,,165,ORT,eng,TRUE,superadmin,now(),now()
3000227,Dummy IRIS Scanner 42,58-AD-38-39-19-FF,BS563Q2230875,,327,ORT,eng,TRUE,superadmin,now(),now()
