code,name,hierarchy_level,hierarchy_level_name,hierarchy_path,parent_zone_code,lang_code,is_active,cr_by,cr_dtimes
ORT,Oriental,2,Région,MOR/NTH/ORT,NTH,fra,TRUE,superadmin,now()
NDR,Nador,3,Province,MOR/NTH/ORT/NDR,ORT,eng,TRUE,superadmin,now()
NDR,الناظور,3,المحافظة,MOR/NTH/ORT/NDR,ORT,ara,TRUE,superadmin,now()
NDR,Nador,3,Province,MOR/NTH/ORT/NDR,ORT,fra,TRUE,superadmin,now()
BRK,Berkane,3,Province,MOR/NTH/ORT/BRK,ORT,eng,TRUE,superadmin,now()
BRK,بَركان,3,المحافظة,MOR/NTH/ORT/BRK,ORT,ara,TRUE,superadmin,now()
BRK,Berkane,3,Province,MOR/NTH/ORT/BRK,ORT,fra,TRUE,superadmin,now()
JRD,Jerada ,3,Province,MOR/NTH/ORT/JRD,ORT,eng,TRUE,superadmin,now()
JRD,جرادة,3,المحافظة,MOR/NTH/ORT/JRD,ORT,ara,TRUE,superadmin,now()
JRD,Jerada ,3,Province,MOR/NTH/ORT/JRD,ORT,fra,TRUE,superadmin,now()
STH,South,1,Direction,MOR/STH,MOR,eng,TRUE,superadmin,now()
STH,جنوب,1,اتجاه,MOR/STH,MOR,ara,TRUE,superadmin,now()
STH,Sud,1,Direction,MOR/STH,MOR,fra,TRUE,superadmin,now()
MRS,Marrakesh-Safi,2,Region,MOR/STH/MRS,STH,eng,TRUE,superadmin,now()
MRS,مراكشآسفي‎,2,منطقة,MOR/STH/MRS,STH,ara,TRUE,superadmin,now()
MRS,Marrakesh-Safi,2,Région,MOR/STH/MRS,STH,fra,TRUE,superadmin,now()
SAF,Safi ,3,Province,MOR/STH/MRS/SAF,MRS,eng,TRUE,superadmin,now()
SAF,آسفي,3,المحافظة,MOR/STH/MRS/SAF,MRS,ara,TRUE,superadmin,now()
SAF,Safi ,3,Province,MOR/STH/MRS/SAF,MRS,fra,TRUE,superadmin,now()
YSF,Youssoufia ,3,Province,MOR/STH/MRS/YSF,MRS,eng,TRUE,superadmin,now()
YSF,اليوسفية,3,المحافظة,MOR/STH/MRS/YSF,MRS,ara,TRUE,superadmin,now()
YSF,Youssoufia ,3,Province,MOR/STH/MRS/YSF,MRS,fra,TRUE,superadmin,now()
SOS,Souss-Massa,2,Region,MOR/STH/SOS,STH,eng,TRUE,superadmin,now()
SOS,سوسماسة,2,منطقة,MOR/STH/SOS,STH,ara,TRUE,superadmin,now()
SOS,Sus-Massa,2,Région,MOR/STH/SOS,STH,fra,TRUE,superadmin,now()
TTA,Tata ,3,Province,MOR/STH/SOS/TTA,SOS,eng,TRUE,superadmin,now()
TTA,طاطا,3,المحافظة,MOR/STH/SOS/TTA,SOS,ara,TRUE,superadmin,now()
TTA,Tata ,3,Province,MOR/STH/SOS/TTA,SOS,fra,TRUE,superadmin,now()
TZT,Tiznit,3,Province,MOR/STH/SOS/TZT,SOS,eng,TRUE,superadmin,now()
TZT,تزنيت‎,3,المحافظة,MOR/STH/SOS/TZT,SOS,ara,TRUE,superadmin,now()
TZT,Tiznit,3,Province,MOR/STH/SOS/TZT,SOS,fra,TRUE,superadmin,now()
