id,name,cntrtyp_code,addr_line1,addr_line2,addr_line3,latitude,longitude,location_code,contact_phone,contact_person,number_of_kiosks,working_hours,per_kiosk_process_time,center_start_time,center_end_time,lunch_start_time,lunch_end_time,time_zone,holiday_loc_code,zone_code,lang_code,is_active,cr_by,cr_dtimes,eff_dtimes
10005,centre mehdia,REG,route de mehdia Amria mehdia,Kénitra,Maroc,34.256414,-6.675499,14110,658302699,Walter Melon,1,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,KTA,BSN,fra,TRUE,superadmin,now(),now()
10006,Center Ouled Oujih,REG,Bloc 1 G1 N113,Kenitra,Maroc,34.262477,-6.618605,14080,915790305,Barb Ackue,5,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,KTA,NDR,eng,TRUE,superadmin,now(),now()
10006,مركز اولاد اوجيه,REG,حي 1 G1 N113,القنيطرة,المغرب,34.262477,-6.618605,14080,722656761,بَرب اCكُ ,5,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) توقيت وسط أوروبا,KTA,NDR,ara,TRUE,superadmin,now(),now()
10006,center Ouled Oujih,REG,Bloc 1 G1 N113,Kénitra,Maroc,34.262477,-6.618605,14080,888439793,Barb Ackue,5,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,KTA,NDR,fra,TRUE,superadmin,now(),now()
10007,Center Sidi Taibi,REG,Rabat Road,Sidi Taibi,Morocco,34.192861,-6.683662,14025,811552880,Monty Carlo,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,KTA,STT,eng,TRUE,superadmin,now(),now()
10007,مركز  سيدي الطيبي ,REG,الرباط طريق,سيدي الطيبي,المغرب,34.192861,-6.683662,14025,680758944,منتي َرل ,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) توقيت وسط أوروبا,KTA,STT,ara,TRUE,superadmin,now(),now()
10007,centre Sidi Taibi,REG,Route de Rabat,Sidi Taibi,Maroc,34.192861,-6.683662,14025,753640112,Monty Carlo,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,KTA,STT,fra,TRUE,superadmin,now(),now()
10008,Center Sidi Allal Tazi,REG,National Road,Alla Tazi,Morocco,34.522414,-6.320471,14050,695325692,Cliff Hanger,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,KTA,SAF,eng,TRUE,superadmin,now(),now()
10008, مركز علال التازي,REG,طريق قومي,علال التازي,المغرب,34.522414,-6.320471,14050,851013196,لِفّ هَنر,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) توقيت وسط أوروبا,KTA,SAF,ara,TRUE,superadmin,now(),now()
10008,centre Sidi Allal Tazi,REG,route nationale,Alla Tazi,Maroc,34.522414,-6.320471,14050,862899075,Cliff Hanger,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,KTA,SAF,fra,TRUE,superadmin,now(),now()
10009,Center Agdal,REG,French Avenue,Rabat,Morocco,33.998232,-6.845728,10106,745360421,Robin Banks,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,RBT,YSF,eng,TRUE,superadmin,now(),now()
10009, مركز أكدال,REG,شارع فرنسي,الرباط,المغرب,33.998232,-6.845728,10106,889575995,ربٍ بَنكس,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) توقيت وسط أوروبا,RBT,YSF,ara,TRUE,superadmin,now(),now()
10009,centre Agdal,REG,avenue de France,Rabat,Maroc,33.998232,-6.845728,10106,676186831,Robin Banks,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,RBT,YSF,fra,TRUE,superadmin,now(),now()
10010,Center Hassan,REG,Avenue Amir Moulay Abdellah,Rabat,Morocco,34.017502,-6.834745,10000,766074745,Max Emum,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,RBT,TTA,eng,TRUE,superadmin,now(),now()
10010, مركز حسان,REG,شارع أمير مولاي عبد الله,الرباط,المغرب,34.017502,-6.834745,10000,730621636,مَ مُم,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) توقيت وسط أوروبا,RBT,TTA,ara,TRUE,superadmin,now(),now()
10010,centre Hassan,REG,avenue de Amir Moulay Abdellah,Rabat,Maroc,34.017502,-6.834745,10000,773606891,Max Emum,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,RBT,TTA,fra,TRUE,superadmin,now(),now()
10011,Center Souissi,REG,Avenue Mohamed VI,Rabat,Morocco,33.986608,-6.828873,10105,787248921,Minnie Mum,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,RBT,TZT,eng,TRUE,superadmin,now(),now()
10011, مركز السويسي,REG,شارع محمد السادس,الرباط,المغرب,33.986608,-6.828873,10105,966040427,مِنِّ مُم,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) توقيت وسط أوروبا,RBT,TZT,ara,TRUE,superadmin,now(),now()
10011,centre Souissi,REG,avenue de Mohammed VI,Rabat,Maroc,33.986608,-6.828873,10105,878691008,Minnie Mum,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,RBT,TZT,fra,TRUE,superadmin,now(),now()
10012,Center Madinat Al Irfane,REG,Avenue Allal Al Fassi,Rabat,Morocco,33.978103,-6.867849,10112,838412388,Bill Yerds,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,RBT,SAF,eng,TRUE,superadmin,now(),now()
10012,مركز مدينة العرفان,REG,شارع علال الفاسي,الرباط,المغرب,33.978103,-6.867849,10112,759605605,بِلّ يردس,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) توقيت وسط أوروبا,RBT,SAF,ara,TRUE,superadmin,now(),now()
10012,centre Madinat Al Irfane,REG,avenue de Allal Al Fassi,Rabat,Maroc,33.978103,-6.867849,10112,719952201,Bill Yerds,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,RBT,SAF,fra,TRUE,superadmin,now(),now()
10013,Center Hay Riad,REG,Avenue Al Araar,Rabat,Morocco,33.953931,-6.874735,10104,751913644,Dan Druff,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,RBT,YSF,eng,TRUE,superadmin,now(),now()
10013,مركز حي الرياض,REG,شارع العرار,الرباط,المغرب,33.953931,-6.874735,10104,820594414,داً درُفّ ,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) توقيت وسط أوروبا,RBT,YSF,ara,TRUE,superadmin,now(),now()
10013,centre Hay Riad,REG,avenue de Al Araar,Rabat,Maroc,33.953931,-6.874735,10104,956537434,Dan Druff,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,RBT,YSF,fra,TRUE,superadmin,now(),now()
10014,Center Medina,REG,Street of the Consuls,Rabat,Morocco,34.027757,-6.834147,10036,965639376,Rick Shaw,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,RBT,TTA,eng,TRUE,superadmin,now(),now()
10014,مركز مدينة,REG,شارع القنصليات,الرباط,المغرب,34.027757,-6.834147,10036,885430659,رِك شَوا ,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) توقيت وسط أوروبا,RBT,TTA,ara,TRUE,superadmin,now(),now()
10014,centre Medina,REG,Rue des Consuls,Rabat,Maroc,34.027757,-6.834147,10036,781039430,Rick Shaw,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,RBT,TTA,fra,TRUE,superadmin,now(),now()
10015,Center Youssoufia,REG,Avenue Ouzguita,Rabat,Morocco,33.995612,-6.815281,10190,803062069,Mick Donalds,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,RBT,TZT,eng,TRUE,superadmin,now(),now()
10015,مركز اليوسفية,REG,نسخ العنوان,الرباط,المغرب,33.995612,-6.815281,10190,802491003,مِك دنَلدس,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) توقيت وسط أوروبا,RBT,TZT,ara,TRUE,superadmin,now(),now()
10015,centre Youssoufia,REG,avenue de Ouzguita,Rabat,Maroc,33.995612,-6.815281,10190,731435978,Mick Donalds,2,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,RBT,TZT,fra,TRUE,superadmin,now(),now()
33333,Center Rabat,REG,P4238,Ben Mansour,Morocco,33.52117,-5.453275,14022,779517433,John Doe,12,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) CENTRAL EUROPEAN TIME,RBT,RBT,eng,TRUE,superadmin,now(),now()
33333,مركز الرباط,REG,P4238,بن منصور,المغرب,33.52117,-5.453275,14022,944945765,جهن د,12,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GTM+01:00) توقيت وسط أوروبا,RBT,RBT,ara,TRUE,superadmin,now(),now()
33333,Center Rabat,REG,P4238,Ben Mansour,Maroc,33.52117,-5.453275,14022,993556086,John Doe,12,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,GTM + 01h00) HEURE EUROPEENNE CENTRALE,RBT,RBT,fra,TRUE,superadmin,now(),now()
